id,name,status,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,map_url,coordinate_source
eastgardens,Bailey Nelson Eastgardens - Now Open,Active,NSW,Eastgardens,2036,"152 Bunnerong Rd, Eastgardens, NSW, 2036",+61283942761,-33.9447872,151.2240871,https://baileynelson.com.au/pages/optometrist-eastgardens,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+Eastgardens/@-33.9447827,151.2215122,17z/data=!3m2!4b1!5s0x6b12b1652977cdd3:0x571df460ea703925!4m6!3m5!1s0x6b12b1596b44210b:0x1337497aebd1595d!8m2!3d-33.9447872!4d151.2240871!16s%2Fg%2F11njwzmpn8?entry=tts&g_ep=EgoyMDI2MDYyOS4wIPu8ASoASAFQAw%3D%3D&skid=7ebfaff5-277d-4f67-8534-a920e53cef07",Official Google Maps link
erina-fair,Bailey Nelson Erina Fair,Active,NSW,Erina,2250,"620-658 Terrigal Drive, Erina, NSW, 2250",+61243163121,-33.4376053,151.3927555,https://baileynelson.com.au/pages/optometrist-erina-fair,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+-+Erina+Fair/@-33.4376971,151.3938847,18z/data=!4m6!3m5!1s0x6ab0cf148353c3a3:0x1f0640285fb29034!8m2!3d-33.4376053!4d151.3927555!16s%2Fg%2F11yk3rgyq0?entry=tts&g_ep=EgoyMDI1MTAyNi4wIPu8ASoASAFQAw%3D%3D&skid=9dbc2460-2887-449f-93ae-1e185e364a29",Official Google Maps link
kotara,Bailey Nelson Kotara,Active,NSW,Kotara,2289,"Northcott Drive, Kotara, NSW, 2289",+61240818930,-32.9422944,151.7112084,https://baileynelson.com.au/pages/optometrist-kotara,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Kotara/@-32.9422944,151.7112084,15z/data=!4m6!3m5!1s0x6b73151e5b64fa71:0xb8af3cd988636e92!8m2!3d-32.9422944!4d151.7112084!16s%2Fg%2F11ry9s5_xp?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNC4wKgBIAVAD",Official Google Maps link
manly,Bailey Nelson Manly,Active,NSW,Manly,2095,"4-10 Sydney Rd, Manly, NSW, 2095",+61283571358,-33.7970173,151.2872737,https://baileynelson.com.au/pages/optometrist-manly,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Manly/@-33.7970173,151.2872737,15z/data=!4m6!3m5!1s0x6b12ab0f5cb8ae95:0x5ec1d6c3729602fb!8m2!3d-33.7970173!4d151.2872737!16s%2Fg%2F11f54x2z40?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNC4wKgBIAVAD",Official Google Maps link
miranda,Bailey Nelson Miranda,Active,NSW,Miranda,2228,"600 Kingsway, Miranda, NSW, 2228",+61283571351,-34.0355512,151.1006368,https://baileynelson.com.au/pages/optometrist-miranda,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Miranda/@-34.0355512,151.1006368,15z/data=!4m6!3m5!1s0x6b12c784afec518d:0xadd1522ca8c4f4a0!8m2!3d-34.0355512!4d151.1006368!16s%2Fg%2F11b6zq42_5?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNC4wKgBIAVAD",Official Google Maps link
mosman,Bailey Nelson Mosman,Active,NSW,Mosman,2088,"Shop 3 - 597 Military Road, Mosman, NSW, 2088",+61290008068,-33.8253654,151.2420018,https://baileynelson.com.au/pages/optometrist-mosman,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Mosman/@-33.8253654,151.2420018,15z/data=!4m6!3m5!1s0x6b12ad21a834b57d:0xf9ccd9c38371d0fa!8m2!3d-33.8253654!4d151.2420018!16s%2Fg%2F11wc9mqqq4?sa=X&ved=1t:2428&ictx=111&entry=tts&g_ep=EgoyMDI0MDkwNC4wKgBIAVAD",Official Google Maps link
newtown,Bailey Nelson Newtown,Active,NSW,Newtown,2042,"239 King Street, Newtown, NSW, 2042",+61283571350,-33.8954608,151.1811783,https://baileynelson.com.au/pages/optometrist-newtown,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Newtown/@-33.8954608,151.1811783,15z/data=!4m6!3m5!1s0x6b12b033d81df7c7:0xe308f76eae60550a!8m2!3d-33.8954608!4d151.1811783!16s%2Fg%2F11g7kyfl_r?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNC4wKgBIAVAD",Official Google Maps link
macquarie,Bailey Nelson Macquarie Centre,Active,NSW,North Ryde,2113,"Corner of Herring Road & Waterloo Road, North Ryde, NSW, 2113",+61290008062,-33.7767187,151.1205172,https://baileynelson.com.au/pages/optometrist-macquarie,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Macquarie+Centre/@-33.7767187,151.1205172,15z/data=!4m6!3m5!1s0x6b12a60cc14b5cfb:0xe37c233e76d72292!8m2!3d-33.7767187!4d151.1205172!16s%2Fg%2F11b6zsysx4?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgxMS4wKgBIAVAD",Official Google Maps link
paddington,Bailey Nelson Paddington - New Location,Active,NSW,Paddington,2021,"372 Oxford Street, Paddington, NSW, 2021",+61290008061,-33.8860014,151.2289799,https://baileynelson.com.au/pages/optometrist-paddington,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Paddington/@-33.8860014,151.2289799,15z/data=!4m6!3m5!1s0x6b12ae062e06db97:0xe7e1bd217973afa4!8m2!3d-33.8860014!4d151.2289799!16s%2Fg%2F12615x7b8?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNC4wKgBIAVAD",Official Google Maps link
pitt-st-sydney,Bailey Nelson Pitt Street - Westfield Sydney,Active,NSW,Sydney,2000,"188 Pitt St, Sydney, NSW, 2000",+61290008067,-33.8705971,151.2090642,https://baileynelson.com.au/pages/optometrist-pitt-st-sydney,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Pitt+Street/@-33.8705971,151.2090642,15z/data=!4m6!3m5!1s0x6b12ae3fb1873ead:0xea9145f256ed6f93!8m2!3d-33.8705971!4d151.2090642!16s%2Fg%2F11b6zl95p0?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNC4wKgBIAVAD",Official Google Maps link
broadway,Bailey Nelson Broadway,Active,NSW,Ultimo,2007,"1 Bay Street, Ultimo, NSW, 2007",+61290008069,-33.8834174,151.1943646,https://baileynelson.com.au/pages/optometrist-broadway,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Broadway/@-33.8829097,151.1850305,16z/data=!4m6!3m5!1s0x6b12ae29a5283363:0x3fc7d0e74d40299a!8m2!3d-33.8834174!4d151.1943646!16s%2Fg%2F11b6ztx2hm?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNC4wKgBIAVAD",Official Google Maps link
brisbane-macarthur,Bailey Nelson Brisbane MacArthur,Active,QLD,Brisbane,4000,"255 Queen St, Brisbane, QLD, 4000",+61737093763,-27.4681543,153.0276745,https://baileynelson.com.au/pages/optometrist-brisbane-macarthur,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Brisbane+MacArthur/@-27.4683304,153.025172,17z/data=!4m7!3m6!1s0x6b915b480a853711:0x237136e4e583f105!8m2!3d-27.4681543!4d153.0276745!15sCiBiYWlsZXkgbmVsc29uIGJyaXNiYW5lIG1hY2FydGh1ciIDiAEBWiIiIGJhaWxleSBuZWxzb24gYnJpc2JhbmUgbWFjYXJ0aHVykgELb3B0b21ldHJpc3TgAQA!16s%2Fg%2F11tf3p0nw0?coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD",Official Google Maps link
gold-coast,Bailey Nelson Gold Coast Pacific Fair,Active,QLD,Broadbeach,4218,"32 Hooker Boulevard, Broadbeach, QLD, 4218",+61756168866,-28.0370278,153.4266806,https://baileynelson.com.au/pages/optometrist-gold-coast,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Pacific+Fair/@-28.0370278,153.4266806,15z/data=!4m6!3m5!1s0x6b9104f01a388917:0x58708d7650c1a3c!8m2!3d-28.0370278!4d153.4266806!16s%2Fg%2F11c3l9kg73?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD",Official Google Maps link
burleigh-heads,Bailey Nelson Burleigh Heads,Active,QLD,Burleigh Heads,4220,"15-17 James Street, Burleigh Heads, QLD, 4220",+61 7 5690 5060,-28.089137,153.4511243,https://baileynelson.com.au/pages/optometrist-burleigh-heads,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Shop+2%2F15+James+St,+Burleigh+Heads+QLD+4220,+Australia/@-28.0891322,153.4485494,17z/data=!3m1!4b1!4m6!3m5!1s0x6b910390ab6f22bd:0x4bc093c9da706fe1!8m2!3d-28.089137!4d153.4511243!16s%2Fg%2F11rg681r0q?entry=tts&g_ep=EgoyMDI1MDcwOS4wIPu8ASoASAFQAw%3D%3D&skid=140c3e32-103f-4a32-8f1d-d10fee8d34b1",Official Google Maps link
carindale,Bailey Nelson Carindale,Active,QLD,Carindale,4152,"1151 Creek Rd, Carindale, QLD, 4152",+61737093760,-27.5029969,153.1019762,https://baileynelson.com.au/pages/optometrist-carindale,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Carindale/@-27.5029969,153.1019762,15z/data=!4m6!3m5!1s0x6b915bdaabc46757:0xd660516b35e51570!8m2!3d-27.5029969!4d153.1019762!16s%2Fg%2F11f793zkss?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD",Official Google Maps link
chermside,Bailey Nelson Chermside,Active,QLD,Chermside,4032,"Shop 1380, Westfield Chermside, Chermside, QLD, 4032",+61737093766,-27.3813595,153.0329081,https://baileynelson.com.au/pages/optometrist-chermside,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Chermside/@-27.3813595,153.0329081,15z/data=!4m6!3m5!1s0x6b91580ef4ecde65:0x32f3e677a09a2ac7!8m2!3d-27.3813595!4d153.0329081!16s%2Fg%2F11fy4fyj8z?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD",Official Google Maps link
coomera,Bailey Nelson Coomera,Active,QLD,Coomera,4209,"103 Foxwell Rd, Coomera, QLD, 4209",+61756060742,-27.8527529,153.3144519,https://baileynelson.com.au/pages/optometrist-coomera,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Coomera/@-27.8527529,153.3144519,17z/data=!3m1!4b1!4m6!3m5!1s0x6b91137ae6c29a9b:0x9ebbb426c341170e!8m2!3d-27.8527529!4d153.3144519!16s%2Fg%2F11ww7gl2jn?entry=tts&g_ep=EgoyMDI1MDMyNC4wIPu8ASoASAFQAw%3D%3D&skid=a83b6d73-1b91-4a53-86d1-8c69acd811d3",Official Google Maps link
fortitude-valley,Bailey Nelson Fortitude Valley,Active,QLD,Fortitude Valley,4006,"65 James Street, Fortitude Valley, QLD, 4006",+61737093761,-27.4575991,153.0405923,https://baileynelson.com.au/pages/optometrist-fortitude-valley,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Fortitude+Valley/@-27.4575991,153.0405923,15z/data=!4m6!3m5!1s0x6b91598d0d742dd9:0x4180b9cb33fc709d!8m2!3d-27.4575991!4d153.0405923!16s%2Fg%2F11b69zzx6k?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD",Official Google Maps link
indooroopilly,Bailey Nelson Indooroopilly,Active,QLD,Indooroopilly,4608,"322 Moggill Road, Indooroopilly, QLD, 4608",+61737093764,-27.499702,152.9730189,https://baileynelson.com.au/pages/optometrist-indooroopilly,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Indooroopilly/@-27.499702,152.9730189,15z/data=!4m6!3m5!1s0x6b9150542fe739bb:0x805f129df12e2f77!8m2!3d-27.499702!4d152.9730189!16s%2Fg%2F11b6zskdz7?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD",Official Google Maps link
north-lakes,Bailey Nelson North Lakes,Active,QLD,North Lakes,4509,"1158a North Lakes Drive, North Lakes, QLD, 4509",+61737093765,-27.2411429,153.0156064,https://baileynelson.com.au/pages/optometrist-north-lakes,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson/@-27.2411429,153.0156064,15z/data=!4m6!3m5!1s0x6b93e5589cec4d61:0xcb7fa56b629f43ae!8m2!3d-27.2411429!4d153.0156064!16s%2Fg%2F11p5g8xgjm?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD",Official Google Maps link
robina,Bailey Nelson Gold Coast Robina,Active,QLD,Robina,4230,"Robina Town Shopping Centre, Robina, QLD, 4230",+61756517346,-28.0764984,153.3860834,https://baileynelson.com.au/pages/optometrist-robina,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Robina/@-28.0764984,153.3860834,15z/data=!4m6!3m5!1s0x6b911dc9a0a4ebdf:0xe30b41fb001e9ab8!8m2!3d-28.0764984!4d153.3860834!16s%2Fg%2F11h04bc12w?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD",Official Google Maps link
