name,sap_id,identifier,state,city,postal_code,address_1,address_2,address_3,full_address,phone,fax,latitude,longitude,services,hours
OPSM Ballina,1259,OPSM Ballina_1259,NSW,Ballina,2478,Cnr Kerr St &amp; Fox St,,,"Cnr Kerr St &amp; Fox St, Ballina, NSW, 2478",(02) 6686 5071,(02) 6681 4032,-28.85811,153.55944,Collect & Return,Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-20:00; Fri: 08:30-17:30; Sat: 08:30-16:00; Sun: 10:00-15:00
OPSM Balmain,2984,OPSM Balmain_2984,NSW,Balmain,2041,270 Darling St,,,"270 Darling St, Balmain, NSW, 2041",(02) 9001 0514,(02) 9059 5812,-33.8578,151.18176,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-17:00
Opsm Bankstown,1178,Opsm Bankstown_1178,NSW,Bankstown,2200,"Bankstown Central, Stacey Street",,,"Bankstown Central, Stacey Street, Bankstown, NSW, 2200",(02) 9709 2420,(02) 9790 2316,-33.9163,151.03819,"Audiology, Dry Eye, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Bateau Bay,2990,OPSM Bateau Bay_2990,NSW,Bateau Bay,2261,The Entrance Rd,,,"The Entrance Rd, Bateau Bay, NSW, 2261",(02) 4333 4370,(02) 4332 5024,-33.37342,151.47296,Collect & Return,Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-18:00; Fri: 08:30-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Batemans Bay,2995,OPSM Batemans Bay_2995,NSW,Batemans Bay,2536,Orient St,,,"Orient St, Batemans Bay, NSW, 2536",(02) 4472 7088,(02) 4472 7398,-35.70684,150.17782,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-17:30; Sun: closed
OPSM Bathurst,1020,OPSM Bathurst_1020,NSW,Bathurst,2795,121 Howick St,,,"121 Howick St, Bathurst, NSW, 2795",(02) 6331 4023,(02) 6331 2132,-33.41777,149.58267,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 09:00-17:30; Sun: 09:30-16:00
Jason Harley Bega by OPSM,2943,Jason Harley Bega by OPSM_2943,NSW,Bega,2550,1/209 Carp St,,,"1/209 Carp St, Bega, NSW, 2550",(02) 6492 5511,(02) 6492 0061,-35.35179,149.23459,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: closed; Sun: closed
OPSM Blacktown,1462,OPSM Blacktown_1462,NSW,Blacktown,2148,17 Patrick St,,,"17 Patrick St, Blacktown, NSW, 2148",(02) 9622 4400,(02) 9622 7496,-33.77046,150.90623,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-17:00
OPSM Bondi Junction,1103,OPSM Bondi Junction_1103,NSW,Bondi Junction,2022,251 Oxford St,,,"251 Oxford St, Bondi Junction, NSW, 2022",(02) 9389 4044,(02) 9389 4435,-33.89151,151.25231,"Dry Eye, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-17:00
OPSM Bowral,1658,OPSM Bowral_1658,NSW,Bowral,2576,320 - 326 Bong Bong St,,,"320 - 326 Bong Bong St, Bowral, NSW, 2576",(02) 4862 1190,(02) 4862 2573,-34.48032,150.41777,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 10:00-13:00; Sun: closed
OPSM Broken Hill,7062,OPSM Broken Hill_7062,NSW,Broken Hill,2880,249 Argent Street,,,"249 Argent Street, Broken Hill, NSW, 2880",(08) 8087 3202,(08) 8088 3793,-31.95918,141.46465,,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-13:00; Sun: closed
OPSM Warringah Mall,1201,OPSM Warringah Mall_1201,NSW,Brookvale,2100,145 Old Pittwater Rd,,,"145 Old Pittwater Rd, Brookvale, NSW, 2100",(02) 9905 2666,(02) 9905 6008,-33.76669,151.26572,"Dry Eye, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-17:00
OPSM Burwood,2216,OPSM Burwood_2216,NSW,Burwood,2134,Burwood Rd,,,"Burwood Rd, Burwood, NSW, 2134",(02) 9747 3925,(02) 9744 1358,-33.8748,151.10507,Collect & Return,Mon: 09:30-18:00; Tue: 09:30-18:00; Wed: 09:30-18:00; Thu: 09:30-21:00; Fri: 09:30-18:00; Sat: 09:00-18:00; Sun: 10:00-18:00
OPSM Byron Bay,2992,OPSM Byron Bay_2992,NSW,Byron Bay,2481,56 Jonson St,,,"56 Jonson St, Byron Bay, NSW, 2481",(02) 8840 3720,(02) 8840 3722,-28.64371,153.61203,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Macarthur Square,1192,OPSM Macarthur Square_1192,NSW,Campbelltown,2560,200 Gilchrist Dr,,,"200 Gilchrist Dr, Campbelltown, NSW, 2560",(02) 4625 2773,(02) 4625 5330,-34.0773,150.79812,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-17:00
OPSM Castle Towers,1321,OPSM Castle Towers_1321,NSW,Castle Hill,2154,341 CASTLE TOWERS SHOPPING CENTRE,,,"341 CASTLE TOWERS SHOPPING CENTRE, Castle Hill, NSW, 2154",(02) 9634 6157,(02) 9899 2234,-33.73048,151.00542,"Dry Eye, Kids Vision Centre, Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 08:30-17:00; Sun: 09:00-17:00
OPSM Charlestown,1219,OPSM Charlestown_1219,NSW,Charlestown,2290,Pearson St,,,"Pearson St, Charlestown, NSW, 2290",(02) 4943 9066,(02) 4942 1708,-32.96465,151.69361,"Dry Eye, Collect & Return",Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-21:00; Fri: 08:30-17:30; Sat: 08:30-17:00; Sun: 10:00-16:00
OPSM Chatswood Westfield,1460,OPSM Chatswood Westfield_1460,NSW,Chatswood,2067,1 Anderson St,,,"1 Anderson St, Chatswood, NSW, 2067",(02) 9413 2055,(02) 9413 2118,-33.79671,151.18381,"Dry Eye, Kids Vision Centre, Collect & Return",Mon: 09:30-18:00; Tue: 09:30-18:00; Wed: 09:30-18:00; Thu: 09:30-21:00; Fri: 09:30-18:00; Sat: 09:00-18:00; Sun: 10:00-18:00
OPSM Cherrybrook,1086,OPSM Cherrybrook_1086,NSW,Cherrybrook,2126,41 - 47 Shepherds Dr,,,"41 - 47 Shepherds Dr, Cherrybrook, NSW, 2126",(02) 9481 4287,(02) 9481 4298,-33.7207,151.04392,"Dry Eye, Kids Vision Centre, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Coffs Harbour,1229,OPSM Coffs Harbour_1229,NSW,Coffs Harbour,2450,253 Pacific Hwy,,,"253 Pacific Hwy, Coffs Harbour, NSW, 2450",(02) 6652 3893,(02) 6651 3002,-30.2828,153.13172,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: closed
OPSM Crows Nest,1439,OPSM Crows Nest_1439,NSW,Crows Nest,2065,106 Willoughby Rd,,,"106 Willoughby Rd, Crows Nest, NSW, 2065",(02) 9438 2100,(02) 9436 3024,-33.82462,151.20054,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-18:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Dapto,1133,OPSM Dapto_1133,NSW,Dapto,2530,Cnr Princes Hwy &amp; Moombara St,,,"Cnr Princes Hwy &amp; Moombara St, Dapto, NSW, 2530",(02) 4261 5550,(02) 4262 2017,-34.49482,150.79449,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Dee Why,1205,OPSM Dee Why_1205,NSW,Dee Why,2099,15-19 Pacific Pde,,,"15-19 Pacific Pde, Dee Why, NSW, 2099",(02) 9981 2442,(02) 9982 8315,-33.75462,151.28482,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Dubbo,1227,OPSM Dubbo_1227,NSW,Dubbo,2830,177 Macquarie St,,,"177 Macquarie St, Dubbo, NSW, 2830",(02) 6882 4710,(02) 6884 0102,-32.25026,148.60056,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Green Hills,1403,OPSM Green Hills_1403,NSW,East Maitland,2323,1 Molly Morgan Dr,,,"1 Molly Morgan Dr, East Maitland, NSW, 2323",(02) 83213480,(02) 8321 3481,-32.76187,151.59151,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Erina,1416,OPSM Erina_1416,NSW,Erina,2250,Terrigal Dr,,,"Terrigal Dr, Erina, NSW, 2250",(02) 4365 1024,(02) 4365 2907,-33.43802,151.39395,"Dry Eye, Collect & Return",Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-20:00; Fri: 08:30-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Forster,1350,OPSM Forster_1350,NSW,Forster,2428,Breese Pde,,,"Breese Pde, Forster, NSW, 2428",(02) 6555 7254,(02) 6555 7258,-32.19959,152.52014,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: closed
OPSM Forestway,1473,OPSM Forestway_1473,NSW,Frenchs Forest,2086,20 Forest Way,,,"20 Forest Way, Frenchs Forest, NSW, 2086",(02) 9452 1555,(02) 9975 2793,-33.75016,151.22431,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: closed
OPSM Gordon,1113,OPSM Gordon_1113,NSW,Gordon,2072,767 Pacific Hwy,,,"767 Pacific Hwy, Gordon, NSW, 2072",(02) 9498 6031,(02) 9498 6919,-33.75507,151.15273,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-13:00; Sun: closed
OPSM Goulburn,1016,OPSM Goulburn_1016,NSW,Goulburn,2580,217 Auburn St,,,"217 Auburn St, Goulburn, NSW, 2580",(02) 4821 1074,(02) 4821 6765,-34.75267,149.72049,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-13:00; Sun: closed
OPSM Griffith,1550,OPSM Griffith_1550,NSW,Griffith,2680,314 Banna Ave,,,"314 Banna Ave, Griffith, NSW, 2680",(02) 6962 2198,(02) 6962 2122,-34.28805,146.0452,Collect & Return,Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-17:30; Fri: 08:30-17:30; Sat: 08:30-13:00; Sun: closed
OPSM Hornsby,1102,OPSM Hornsby_1102,NSW,Hornsby,2077,236 Pacific Hwy,,,"236 Pacific Hwy, Hornsby, NSW, 2077",(02) 9477 3439,(02) 9476 4447,-33.70429,151.0999,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-17:00
OPSM Hurstville,2217,OPSM Hurstville_2217,NSW,Hurstville,2220,Cnr Cross St &amp; Park Rd,,,"Cnr Cross St &amp; Park Rd, Hurstville, NSW, 2220",(02) 9579 5955,(08) 8232 6541,-33.96595,151.10515,"Dry Eye, Collect & Return",Mon: 09:30-18:00; Tue: 09:30-18:00; Wed: 09:30-18:00; Thu: 09:30-21:00; Fri: 09:30-18:00; Sat: 09:30-18:00; Sun: 10:00-18:00
OPSM Jesmond,4719,OPSM Jesmond_4719,NSW,Jesmond,2299,28 Blue Gum Rd,,,"28 Blue Gum Rd, Jesmond, NSW, 2299",(02) 4951 7488,(02) 4950 1884,-32.9024,151.6901,,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-18:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: closed
OPSM Katoomba,1279,OPSM Katoomba_1279,NSW,Katoomba,2780,Katoomba St,,,"Katoomba St, Katoomba, NSW, 2780",(02) 4782 2525,(02) 4782 4995,-33.71558,150.31107,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-14:00; Sun: closed
OPSM Kempsey,2218,OPSM Kempsey_2218,NSW,Kempsey,2440,1A Belgrave St,,,"1A Belgrave St, Kempsey, NSW, 2440",(02) 6562 5886,(02) 6562 5887,-31.08043,152.84123,Collect & Return,Mon: 09:00-17:00; Tue: 09:00-17:00; Wed: 09:00-17:00; Thu: 09:00-17:00; Fri: 09:00-17:00; Sat: closed; Sun: closed
OPSM Kotara,1396,OPSM Kotara_1396,NSW,Kotara,2289,Cnr Northcott Dr &amp; Park Ave,,,"Cnr Northcott Dr &amp; Park Ave, Kotara, NSW, 2289",(02) 4956 1544,(02) 4956 1728,-32.94249,151.7113,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Lake Haven,1320,OPSM Lake Haven_1320,NSW,Lake Haven,2263,92 Lake Haven Dr,,,"92 Lake Haven Dr, Lake Haven, NSW, 2263",(02) 4393 2904,(02) 4393 2906,-33.24173,151.50465,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Laurieton,2295,OPSM Laurieton_2295,NSW,Laurieton,2443,8/16 Laurie St,,,"8/16 Laurie St, Laurieton, NSW, 2443",(02) 6559 9007,(02) 6559 5216,-31.65243,152.79572,Collect & Return,Mon: 09:00-17:00; Tue: 09:00-17:00; Wed: 09:00-17:00; Thu: 09:00-17:00; Fri: 09:00-17:00; Sat: closed; Sun: closed
OPSM Lavington,1243,OPSM Lavington_1243,NSW,Lavington,2641,351 Griffith Rd,,,"351 Griffith Rd, Lavington, NSW, 2641",(02) 6040 6077,(02) 6040 6054,-36.04846,146.93501,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: closed
OPSM Leichhardt,1179,OPSM Leichhardt_1179,NSW,Leichhardt,2040,Cnr Marion St &amp; Flood St,,,"Cnr Marion St &amp; Flood St, Leichhardt, NSW, 2040",(02) 9569 4289,(02) 9564 2662,-33.88495,151.14919,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:30; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Lismore,1210,OPSM Lismore_1210,NSW,Lismore,2480,Cnr Brewster St &amp; Uralba St,,,"Cnr Brewster St &amp; Uralba St, Lismore, NSW, 2480",(02) 6621 2095,(02) 6621 2168,-28.8105,153.28656,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 09:00-16:00
OPSM Liverpool,1106,OPSM Liverpool_1106,NSW,Liverpool,2170,Macquarie St,,,"Macquarie St, Liverpool, NSW, 2170",(02) 9602 3105,(02) 9822 4905,-33.91883,150.92359,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-17:00
OPSM Maitland,1013,OPSM Maitland_1013,NSW,Maitland,2320,418 High St,,,"418 High St, Maitland, NSW, 2320",(02) 4933 6923,(02) 4933 2252,-32.73188,151.55492,Collect & Return,Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-18:00; Fri: 08:30-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Marrickville,2991,OPSM Marrickville_2991,NSW,Marrickville,2204,20 Smidmore St,,,"20 Smidmore St, Marrickville, NSW, 2204",(02) 9136 7697,,-33.90808,151.17218,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
Jason Harley Merimbula by OPSM,2942,Jason Harley Merimbula by OPSM_2942,NSW,Merimbula,2548,40 Market Street,,,"40 Market Street, Merimbula, NSW, 2548",(02) 6495 3104,(02) 6495 4579,-36.88782,149.91068,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: closed; Sun: closed
OPSM Miranda,1174,OPSM Miranda_1174,NSW,Miranda,2228,600 The Kingsway,,,"600 The Kingsway, Miranda, NSW, 2228",(02) 9524 6789,(02) 9524 5409,-34.03555,151.10063,"Dry Eye, Collect & Return",Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-18:00; Sat: 09:00-18:00; Sun: 10:00-18:00
OPSM Mona Vale,2941,OPSM Mona Vale_2941,NSW,Mona Vale,2103,Bungan St,,,"Bungan St, Mona Vale, NSW, 2103",(02) 9999 4756,(02) 9997 6316,-33.67635,151.30329,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-13:00; Sun: closed
OPSM Mosman Bridgepoint,2967,OPSM Mosman Bridgepoint_2967,NSW,Mosman,2088,Cnr Brady St &amp; Military Rd,,,"Cnr Brady St &amp; Military Rd, Mosman, NSW, 2088",(02) 9969 8761,(02) 9968 1258,-33.82412,151.24024,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: closed
OPSM Mt Druitt,1193,OPSM Mt Druitt_1193,NSW,Mount Druitt,2770,Cnr Luxford Ave &amp; Carlisle Ave,,,"Cnr Luxford Ave &amp; Carlisle Ave, Mount Druitt, NSW, 2770",(02) 9625 7056,(02) 9832 2962,-33.76684,150.82053,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Lake Macquarie,1217,OPSM Lake Macquarie_1217,NSW,Mt Hutton,2290,46 Wilson Rd,,,"46 Wilson Rd, Mt Hutton, NSW, 2290",(02) 4945 4090,(02) 4945 1708,-32.98427,151.67253,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: closed
OPSM Narellan,1056,OPSM Narellan_1056,NSW,Narellan,2567,326 Camden Valley Way,,,"326 Camden Valley Way, Narellan, NSW, 2567",(02) 4648 2742,(02) 4648 2745,-34.04195,150.73702,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Newcastle,4718,OPSM Newcastle_4718,NSW,Newcastle,2300,122-132 Hunter St,,,"122-132 Hunter St, Newcastle, NSW, 2300",(02) 4929 5211,(02) 4929 3158,-32.927,151.7824,,Mon: 09:00-17:00; Tue: 09:00-17:00; Wed: 09:00-17:00; Thu: 09:00-17:00; Fri: 09:00-17:00; Sat: 09:00-13:00; Sun: closed
OPSM Macquarie Centre,1213,OPSM Macquarie Centre_1213,NSW,North Ryde,2113,Cnr Herring And Waterloo Rd,,,"Cnr Herring And Waterloo Rd, North Ryde, NSW, 2113",(02) 9878 4377,(02) 9878 2929,-33.77671,151.12051,"Dry Eye, Kids Vision Centre, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:30; Sun: 10:00-17:30
OPSM North Sydney,2200,OPSM North Sydney_2200,NSW,North Sydney,2060,100 Miller St,,,"100 Miller St, North Sydney, NSW, 2060",(02) 8866 1629,,-33.83753,151.20657,Collect & Return,Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-17:30; Fri: 08:30-17:30; Sat: 09:00-16:00; Sun: closed
OPSM Nowra,2994,OPSM Nowra_2994,NSW,Nowra,2540,Kinghorne St,,,"Kinghorne St, Nowra, NSW, 2540",(02) 4421 3420,(02) 4421 4872,-34.87433,150.60319,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: closed; Sun: closed
