name,id,state,city,postal_code,full_address,phone,latitude,longitude,services
Earlville,040,QLD,Earlville,4870,"City Beach, Stocklands Cairns Shopping Centre, Shop-77/78, 537 Mulgrave Rd., Earlville, QLD, 4870",07 4033 4300,-16.9438,145.7394,"Official City Beach store, Click & Collect"
Helensvale,038,QLD,Helensvale,4212,"City Beach, Westfield Helensvale Shopping Centre, Shop-1024, 1 Millaroo Dr., Helensvale, QLD, 4212",07 5519 4837,-27.9261,153.3364,"Official City Beach store, Click & Collect"
Indooroopilly,004,QLD,Indooroopilly,4068,"City Beach, Indooroopilly Shopping Centre, Shop-3108/3109, 322 Moggill Rd., Indooroopilly, QLD, 4068",03 3896 9090,-27.4994,152.9728,"Official City Beach store, Click & Collect"
Ipswich,053,QLD,Ipswich,4305,"City Beach, Riverlink Shopping Centre, Shop-34A, 1 Lowry St., Ipswich, QLD, 4305",07 3884 6930,-27.6077,152.7598,"Official City Beach store, Click & Collect"
Loganholme,003,QLD,Loganholme,4129,"City Beach, Logan Hyperdome Shopping Centre, Shop-36, Cnr Pacific Hwy and Bryants Rd., Loganholme, QLD, 4129",07 3451 6310,-27.6598,153.1719,"Official City Beach store, Click & Collect"
Canelands,071,QLD,Mackay,4740,"City Beach, Caneland Central, Shop-61, Cnr Victoria St and Mangrove Rd., Mackay, QLD, 4740",07 4967 2290,-21.1381,149.1757,"Official City Beach store, Click & Collect"
Maroochydore,051,QLD,Maroochydore,4558,"City Beach, Sunshine Plaza Shopping Center, Shop-377, 154-164 Horton Pde., Maroochydore, QLD, 4558",07 5453 1940,-26.6538,153.0884,"Official City Beach store, Click & Collect"
Brookside,008,QLD,Mitchelton,4053,"City Beach, Brookside Shopping Centre, Shop-6, 159 Osborne Rd., Mitchelton, QLD, 4053",07 3855 7830,-27.4097,152.9795,"Official City Beach store, Click & Collect"
Morayfield,024,QLD,Morayfield,4506,"City Beach, Morayfield Shopping Centre, Shop-63, 171 Morayfield Rd., Morayfield, QLD, 4506",07 5420 1050,-27.1021,152.9508,"Official City Beach store, Click & Collect"
Mt Gravatt,001,QLD,Mt Gravatt,4122,"City Beach, Westfield Mt Gravatt Shopping Centre, Shop-1009/1010, Cnr Logan Rd and Kessels Rd., Mt Gravatt, QLD, 4122",07 3405 8840,-27.5612,153.0814,"Official City Beach store, Click & Collect"
Noosa,044,QLD,Noosaville,4556,"City Beach, Noosa Civic Shopping Centre, Shop-1005, 28 Eenie Creek Rd., Noosaville, QLD, 4556",07 5470 3030,-26.4168,153.0488,"Official City Beach store, Click & Collect"
North Lakes,082,QLD,North Lakes,4509,"City Beach, Westfield North Lakes Shopping Centre, Shop-1077, Cnr Anzac Ave and North Lakes Dr., North Lakes, QLD, 4509",07 3491 8329,-27.242,153.0159,"Official City Beach store, Click & Collect"
Rockhampton,081,QLD,Park Avenue,4701,"City Beach, Stockland Rockhampton Shopping Centre, Shop-E09, 331 Yaamba Rd., Park Avenue, QLD, 4701",07 4924 3000,-23.3538,150.5202,"Official City Beach store, Click & Collect"
Robina,016,QLD,Robina,4230,"City Beach, Robina Town Centre, Shop-4124/4125, 19 Robina Town Centre Dr., Robina, QLD, 4230",07 5583 4350,-28.0782,153.3854,"Official City Beach store, Click & Collect"
Springfield,054,QLD,Springfield Central,4300,"City Beach, Orion Springfield Town Centre, Shop-43, 1 Main St., Springfield Central, QLD, 4300",07 3381 6000,-27.6774,152.9022,"Official City Beach store, Click & Collect"
Surfers Paradise,014,QLD,Surfers Paradise,4217,"City Beach, Soul Boardwalk, 13 Cavill Ave., Surfers Paradise, QLD, 4217",07 5583 9710,-28.0018,153.4299,"Official City Beach store, Click & Collect"
Willows,100,QLD,Thuringowa,4817,"City Beach, Willows Shopping Center, Shop-186, 13 Hervey Range Rd., Thuringowa, QLD, 4817",(07) 4760 7290,-19.315614,146.725865,"Official City Beach store, Click & Collect"
Toowoomba,026,QLD,Toowoomba,4350,"City Beach, Grand Central Shopping Centre, Shop-56, Cnr Dent St and Margaret St., Toowoomba, QLD, 4350",07 4699 4516,-27.5612,151.9486,"Official City Beach store, Click & Collect"
Townsville,012,QLD,Townsville,4814,"City Beach, Stockland Townsville Shopping Centre, Shop-144, 310 Ross River Rd., Townsville, QLD, 4814",07 4762 7520,-19.2992,146.7632,"Official City Beach store, Click & Collect"
Highpoint,084,VIC,Maribyrnong,3032,"City Beach, Highpoint Shopping Centre, Shop-2125/2126, Level 2, 120-200 Rosamond Rd., Maribyrnong, VIC, 3032",03 9454 9759,-37.773765,144.889664,"Official City Beach store, Click & Collect"
Booragoon,080,WA,Booragoon,6154,"City Beach, Garden City Booragoon, Shop-114, 125 Riseley St., Booragoon, WA, 6154",08 9231 6450,-32.0336,115.8331,"Official City Beach store, Click & Collect"
Bunbury,070,WA,Bunbury,6230,"City Beach, Bunbury Point Shopping Centre, Shop-7, 60 Blair St., Bunbury, WA, 6230",08 9729 7170,-33.326,115.638,"Official City Beach store, Click & Collect"
Carousel,055,WA,Cannington,6107,"City Beach, Westfield Carousel Shopping Center, Shop-MM109, 1382 Albany Hwy., Cannington, WA, 6107",08 6154 9904,-32.0211,115.9391,"Official City Beach store, Click & Collect"
Whitford,079,WA,Hillarys,6025,"City Beach, Westfield Whitford Shopping Centre, Shop-183/184, Cnr Marmion Ave & Whitfords Ave, Hillarys, WA, 6025",08 9401 1950,-31.797071,115.747171,"Official City Beach store, Click & Collect"
Joondalup,076,WA,Joondalup,6027,"City Beach, Lakeside Joondalup Shopping City, Shop-T114, 420 Joondalup Dr., Joondalup, WA, 6027",08 9233 1650,-31.7435,115.7652,"Official City Beach store, Click & Collect"
Karrinyup,078,WA,Karrinyup,6018,"City Beach, Karrinyup Shopping Center, Shop-MJO208, Ground Floor, 200 Karrinyup Rd., Karrinyup, WA, 6018",08 6241 7300,-31.8769,115.7789,"Official City Beach store, Click & Collect"
Mandurah,068,WA,Mandurah,6210,"City Beach Mandurah Forum, Shop-MM3 330 Pinjarra Rd., Mandurah, WA, 6210",08 9555 9478,-32.5361,115.7406,"Official City Beach store, Click & Collect"
Midland Gate,077,WA,Midland,6056,"City Beach, Midland Gate Shopping Centre, Shop-73, 247 Great Eastern Highway., Midland, WA, 6056",08 9232 5100,-31.8892,116.0066,"Official City Beach store, Click & Collect"
Ocean Keys,049,WA,Ocean Keys,6030,"City Beach, Ocean Keys Shopping Centre, Shop-141, 36 Ocean Keys Bvd., Ocean Keys, WA, 6030",08 6202 0039,-31.6911,115.7178,"Official City Beach store, Click & Collect"
Murray Street,034,WA,Perth,6000,"City Beach, Murray Street, 227 Murray St., Perth, WA, 6000",08 9229 6380,-31.9531,115.8591,"Official City Beach store, Click & Collect"
Rockingham,075,WA,Rockingham,6168,"City Beach, Rockingham Shopping Centre, Shop-173, 1 Council Ave., Rockingham, WA, 6168",08 9527 7420,-32.2889,115.7444,"Official City Beach store, Click & Collect"
Cockburn,050,WA,Success,6164,"City Beach, Cockburn Gateway Shopping City, Shop-MM5, 816 Beeliar Dr., Success, WA, 6164",08 6192 3003,-32.128,115.8585,"Official City Beach store, Click & Collect"
