name,id,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,status
Castle Towers,25,Australia,NSW,Castle Hill,2154,"Level 2, Shop 325 Castle Towers Shopping Centre 6-14 Castle St Castle Hill, NSW, 2154",02 8810 6981,-33.7304168,151.0043348,https://www.oscarwylee.com.au/locations/locations/optometrist-castle-towers.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Charlestown Square,75,Australia,NSW,Charlestown,2290,Charlestown Square Shop G8008/30 Pearson St Charlestown NSW 2290,02 4049 6371,-32.963245043737,151.69383787671,https://www.oscarwylee.com.au/locations/locations/optometrist-charlestown.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Green Hills,87,Australia,NSW,East Maitland,2323,"Stockland Green Hills Shopping Centre, 1 Molly Morgan Dr, East Maitland NSW 2323",(02) 4905 2105,-32.762615069392,151.59133554233,https://www.oscarwylee.com.au/locations/locations/optometrist-green-hills.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Eastgardens,40,Australia,NSW,Eastgardens,2036,"Shop 263, Westfield Eastgardens 152 Bunnerong Rd, Eastgardens NSW 2036",(02) 8386 9746,-33.9452835,151.2215238,https://www.oscarwylee.com.au/locations/locations/optometrist-eastgardens.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Erina Fair,16,Australia,NSW,Erina,2250,"Shop T314, Erina Fair, Terrigal Drive, Erina NSW 2250",(02) 4300 8428,-33.438016,151.392085,https://www.oscarwylee.com.au/locations/locations/optometrist-erina-fair.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Hornsby,42,Australia,NSW,Hornsby,2077,"Shop 1069, Westfield Hornsby 236 Pacific Hwy, Hornsby NSW 2077",(02) 8924 3944,-33.7038591,151.0988137,https://www.oscarwylee.com.au/locations/locations/optometrist-hornsby.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Hurstville,144,Australia,NSW,Hurstville,2220,"Westfield Hurstville Shop 412, 3 Cross Street Hurstville NSW 2220",(02) 7208 8430,-33.96590894373,151.10604009727,https://www.oscarwylee.com.au/locations/locations/optometrist-hurstville.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
St Ives,142,Australia,NSW,Ives,2075,"Shop 42, St Ives Shopping Centre, 166 Mona Vale Road, St Ives NSW 2075",(02) 8959 7224,-33.729647889432,151.15912604418,https://www.oscarwylee.com.au/locations/locations/optometrist-st-ives.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Liverpool,41,Australia,NSW,Liverpool,2170,"Shop 2049, L2 25 George St, Liverpool NSW 2170",(02) 8750 1524,-33.9193486,150.9213375,https://www.oscarwylee.com.au/locations/locations/optometrist-liverpool.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Stockland Merrylands,128,Australia,NSW,Merrylands,2160,"Stockland Merrylands, Shop 1083, 1 Pitt Street, Merrylands NSW 2160",(02) 8073 2326,-33.833470170755,150.9876861233,https://www.oscarwylee.com.au/locations/locations/optometrist-merrylands.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Miranda,17,Australia,NSW,Miranda,2228,"Shop 2168, Westfield Miranda, 600 Kingsway, Miranda NSW 2228",(02) 9538 2515,-34.034778,151.101073,https://www.oscarwylee.com.au/locations/locations/optometrist-miranda.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Mt Druitt Westfield,90,Australia,NSW,Mt Druitt,2770,"Shop 149/50, Westfield Mt Druitt Cnr Carlisle Avenue & Luxford Road, Mt Druitt NSW 2770",02 8809 5041,-33.765978231642,150.8197591,https://www.oscarwylee.com.au/locations/locations/optometrist-mt-druitt.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Narellan Town Centre,84,Australia,NSW,Narellan,2567,"Shop 67 Narellan Town Centre, 326 Camden Valley Way, Narellan NSW 2567",(02) 4610 1367,-34.040328273135,150.73656422654,https://www.oscarwylee.com.au/locations/locations/optometrist-narellan.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Newtown,47,Australia,NSW,Newtown,2042,229 King Street Newtown NSW 2042,(02) 8057 9583,-33.8804298,151.1771151,https://www.oscarwylee.com.au/locations/locations/optometrist-newtown.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Macquarie Centre,74,Australia,NSW,North Ryde,2113,"Macquarie Centre, Cnr Herring Rd &, Waterloo Rd, North Ryde NSW 2113",(02) 8593 1033,-33.77544342751,151.12004509937,https://www.oscarwylee.com.au/locations/locations/optometrist-macquarie-centre.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Orange,99,Australia,NSW,Orange,2800,"Shop 35, Orange Central Square, 227-239 Summer St Orange NSW 2800",(02) 6318 8061,-33.282637593502,149.10023344001,https://www.oscarwylee.com.au/locations/locations/optometrist-orange.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Kotara,70,Australia,NSW,Park Avenue KOTARA,2289,Shop 2040 Westfield Kotara 75-89 Park Avenue KOTARA NSW 2289 Australia,02 4041 2828,-32.942741,151.712596,https://www.oscarwylee.com.au/locations/locations/optometrist-kotara.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Parramatta,8,Australia,NSW,Parramatta Westfield Parramatta,2150,"Shop 3027A, Parramatta Westfield Parramatta NSW 2150, Australia",(02) 8626 2340,-33.8175815,151.0021163,https://www.oscarwylee.com.au/locations/locations/optometrist-parramatta.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Penrith,43,Australia,NSW,Penrith,2750,"Shop 048, Westfield Penrith 585 High St, Penrith NSW 2750",(02) 4708 2987,-33.7512561,150.6911773,https://www.oscarwylee.com.au/locations/locations/optometrist-penrith.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Stockland Wetherill Park,48,Australia,NSW,Prairiewood,2176,"Shop 96, Stockland Wetherill Park 561-583 Polding St Prairiewood NSW 2176",(02) 8740 9025,-33.858797,150.898872,https://www.oscarwylee.com.au/locations/locations/optometrist-wetherill-park.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Rhodes,139,Australia,NSW,Rhodes,2138,"Rhodes Waterside, Shop 19, 1 Rider Boulevard, Rhodes NSW 2138",(02) 8541 6931,-33.835371937773,151.0848272847,https://www.oscarwylee.com.au/locations/locations/optometrist-rhodes.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Rouse Hill Town Centre,127,Australia,NSW,Rouse Hill,2155,"Rouse Hill Town Centre, Shop A-GR 015, White Hart Dr, Rouse Hill NSW 2155",(02) 8631 3900,-33.690026979584,150.92690957671,https://www.oscarwylee.com.au/locations/locations/optometrist-rouse-hill.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Top Ryde City,52,Australia,NSW,Ryde,2112,Shop 2023 Top Ryde City Shopping Centre 109-129 Blaxland Road Ryde NSW 2112,(02) 8590 1822,-33.812182,151.1060215,https://www.oscarwylee.com.au/locations/locations/optometrist-top-ryde.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Stockland Shellharbour,37,Australia,NSW,Shellharbour City Centre,2529,"Shop 1054, Stockland Shellharbour 211 Lake Entrance Rd, Shellharbour City Centre NSW 2529",(02) 4296 8987,-34.5639493,150.8373272,https://www.oscarwylee.com.au/locations/locations/optometrist-shellharbour.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
"The Galeries, Pitt St",3,Australia,NSW,Sydney,2000,"Shop RG28 The Galeries, 275 Pitt St, Sydney NSW 2000, Australia",(02) 8960 1250,-33.8726141,151.2057439,https://www.oscarwylee.com.au/locations/locations/optometrist-sydney-galeries.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Tuggerah,59,Australia,NSW,Tuggerah,2259,Shop 1044 Westfield Tuggerah 50 Wyong Road Tuggerah NSW 2259,(02) 4303 8502,-33.307496,151.411653,https://www.oscarwylee.com.au/locations/locations/optometrist-tuggerah.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Tweed City,97,Australia,NSW,Tweed Heads South,2486,"Shop 047, Tweed City Shopping Centre, 54 Minjungbal Drive, Tweed Heads South NSW 2486",(07) 5645 7565,-28.199999184454,153.5456346,https://www.oscarwylee.com.au/locations/locations/optometrist-tweed-city.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Broadway Shopping Centre,79,Australia,NSW,Ultimo,2000,"G15 Broadway Shopping Centre, 1 Bay Street, Ultimo NSW 2000",02 8385 5600,-33.882331768178,151.19387859946,https://www.oscarwylee.com.au/locations/locations/optometrist-broadway.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Chatswood Chase,24,Australia,NSW,VIC Ave Chatswood,2067,"Shop B014 Chatswood Chase Shopping Centre 345 Victoria Ave Chatswood, NSW, 2067",(02) 8033 1831,-33.7943684,151.1835214,https://www.oscarwylee.com.au/locations/locations/optometrist-chatswood-chase.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Wagga Wagga,100,Australia,NSW,Wagga Wagga,2650,"Shop 49, Wagga Wagga Marketplace, 87 Baylis Street, Wagga Wagga NSW 2650",(02) 6900 2314,-35.114473413504,147.37022211534,https://www.oscarwylee.com.au/locations/locations/optometrist-wagga-wagga.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Winston Hills,85,Australia,NSW,Winston Hills,2153,"Shop T21 Winston Hills Mall, 180/190 Caroline Chisholm Dr, Winston Hills NSW 2153",(02) 8604 8837,-33.772493276982,150.9697412198,https://www.oscarwylee.com.au/locations/locations/optometrist-winston-hills.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Wollongong Central,133,Australia,NSW,Wollongong,2500,"Wollongong Central Shop W129, 200 Crown Street Wollongong NSW 2500",(02) 7208 8415,-34.423444301425,150.89418706931,https://www.oscarwylee.com.au/locations/locations/optometrist-wollongong-central.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Casuarina Square,115,Australia,NT,Casuarina,0810,"Shop GD 220, Casuarina Square, 247 Tower Rd Casuarina NT 0810",(08) 8900 5704,-12.372933344429,130.88095408466,https://www.oscarwylee.com.au/locations/locations/optometrist-casuarina.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Townsville,83,Australia,QLD,Aitkenvale,4814,"Shop 247 Ground Lvl, Stockland Townsville, 310-330 Ross River Rd, Aitkenvale QLD 4814",(07) 4700 0229,-19.298945434652,146.76302105321,https://www.oscarwylee.com.au/locations/locations/optometrist-townsville.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Albert St,54,Australia,QLD,Brisbane City,4000,"136 Queen Street, Brisbane City, QLD 4000",(07) 3076 2860,-27.469362,153.025231,https://www.oscarwylee.com.au/locations/locations/optometrist-albert-st.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Pacific Fair,58,Australia,QLD,Broadbeach,4218,"Shop 1566, Pacific Fair Shopping Centre Hooker Blvd, Broadbeach QLD 4218",07 5570 1101,-28.035821,153.42636,https://www.oscarwylee.com.au/locations/locations/optometrist-pacific-fair.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Kawana Shoppingworld,143,Australia,QLD,Buddina,4575,"Shop 321A, Kawana Shoppingworld 119 Point Cartwright Dr Buddina QLD 4575",(07) 5378 2155,-26.702050014464,153.13086903863,https://www.oscarwylee.com.au/locations/locations/optometrist-kawana.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Cairns Central,129,Australia,QLD,Cairns City,4870,"Shop L01 106, Cairns Central, 1-21 McLeod Street, Cairns City QLD 4870",(07) 4000 8202,-16.924862209443,145.77167379734,https://www.oscarwylee.com.au/locations/locations/optometrist-cairns.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Carindale,18,Australia,QLD,Carindale,4152,"Shop 1223, Westfield Carindale, 1151 Creek Rd, Carindale QLD 4152",07 3194 7686,-27.5026393,153.1000673,https://www.oscarwylee.com.au/locations/locations/optometrist-carindale.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Chermside,21,Australia,QLD,Chermside,4032,"Shop 182 Westfield Chermside Gympie Rd & Hamilton Rd, Chermside, QLD, 4032",(07) 3195 5516,-27.3843522,153.0305963,https://www.oscarwylee.com.au/locations/locations/optometrist-chermside.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Coomera,154,Australia,QLD,Coomera,4209,"Westfield Coomera 1095A, 103-119 Foxwell Rd Coomera QLD 4209",(07) 2111 2606,-27.852661981305,153.31465298643,https://www.oscarwylee.com.au/locations/locations/optometrist-coomera.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
The Pines Elanora,151,Australia,QLD,Elanora,4221,"Shop 13, The Pines Elanora 13/31 Guineas Creek Road and, K P McGrath Dr Elanora QLD 4221",(07) 2139 8076,-28.134910308445,153.46874867116,https://www.oscarwylee.com.au/locations/locations/optometrist-elanora.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Helensvale,44,Australia,QLD,Helensvale,4212,"Shop 1078, Westfield Helensvale, 1-29 Millaroo Drive Helensvale QLD 4212",(07) 5664 2217,-27.9259777,153.3344777,https://www.oscarwylee.com.au/locations/locations/optometrist-helensvale.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Indooroopilly Centre,36,Australia,QLD,Indooroopilly,4068,Indooroopilly Centre Level 1 Shop 1013/322 Moggill Rd Indooroopilly QLD 4068,(07) 3195 0561,-27.5005661,152.9706425,https://www.oscarwylee.com.au/locations/locations/optometrist-indooroopilly.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Hyperdome Loganholme,27,Australia,QLD,Loganholme,4129,"Shop 088B Hyperdome Shopping Centre, 201 Bryants Road, Loganholme, QLD 4129",(07) 3059 0701,-27.6576446,153.1692705,https://www.oscarwylee.com.au/locations/locations/optometrist-loganholme.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Caneland Central Mackay,105,Australia,QLD,Mackay,4740,"Shop GD 2062, Caneland Centre, Mackay Mangrove Rd, Mackay QLD 4740",0748460223,-21.138207919874,149.17752863947,https://www.oscarwylee.com.au/locations/locations/optometrist-mackay.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Sunshine Plaza,51,Australia,QLD,Maroochydore,4558,"Shop GD 504, Sunshine Plaza 154-164 Horton Parade Maroochydore, QLD 4558",(07) 5373 6830,-26.655114,153.087605,https://www.oscarwylee.com.au/locations/locations/optometrist-sunshine-plaza.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Brookside Shopping Centre,152,Australia,QLD,Mitchelton,4053,"Brookside Shopping Centre 110 B-C, 159 Osborne Rd Mitchelton, QLD 4053",(07) 2103 4031,-27.408548398836,152.98003654233,https://www.oscarwylee.com.au/locations/locations/optometrist-brookside.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Morayfield Shopping Centre,49,Australia,QLD,Morayfield,4506,"Shop 10, Morayfield Shopping Centre 171 Morayfield Rd Morayfield QLD 4506",(07) 5348 0227,-27.1035603,152.9472689,https://www.oscarwylee.com.au/locations/locations/optometrist-morayfield.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Mt Ommaney,153,Australia,QLD,Mount Ommaney,4074,"Mount Ommaney SP 103, Lot 3 171 Dandenong Road Mount Ommaney QLD 4074",(07) 2111 2605,-27.549175748856,152.93811186095,https://www.oscarwylee.com.au/locations/locations/optometrist-mt-ommaney.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Capalaba Park,131,Australia,QLD,Mt Cotton Roads Capalaba,4157,Shop No 45 Capalaba Park Shopping Centre Corner Redland Bay & Mt Cotton Roads Capalaba QLD 4157,(07) 3705 4132,-27.523841348864,153.19051866878,https://www.oscarwylee.com.au/locations/locations/optometrist-capalaba.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Noosa Civic,78,Australia,QLD,Noosaville,4566,Noosa Civic Shopping Centre TP 1050X-01C 28 Eenie Creek Rd Noosaville QLD 4566,(07) 5372 9502,-26.416592,153.04876,https://www.oscarwylee.com.au/locations/locations/optometrist-noosa.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield North Lakes,19,Australia,QLD,North Lakes,4509,Shop 1276 Westfield North Lakes Anzac Ave & N Lakes Dr North Lakes QLD 4509,07 3886 0666,-27.2415659,153.0145338,https://www.oscarwylee.com.au/locations/locations/optometrist-north-lakes.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Rockhampton,91,Australia,QLD,Park Avenue,4701,"Shop 246 Stockland Rockhampton Shopping Centre, 120-331 Yaamba Rd, Park Avenue QLD 4701",(07) 4900 1720,-23.354517164064,150.52136656007,https://www.oscarwylee.com.au/locations/locations/optometrist-rockhampton.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Robina,81,Australia,QLD,Robina,4226,"Shop 4053, Robina Town Centre Dr, Robina QLD 4226",(07) 3519 6124,-28.076398241427,153.3856080074,https://www.oscarwylee.com.au/locations/locations/optometrist-robina.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Australia Fair,94,Australia,QLD,Southport,4215,"Tenancy G077, Australia Fair Shopping Centre, 42 Marine Parade, Southport QLD 4215",(07) 5661 1102,-27.968465057496,153.41555254233,https://www.oscarwylee.com.au/locations/locations/optometrist-southport.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Orion Springfield,93,Australia,QLD,Springfield Central,4300,"Ground Floor, Shop 66, 1 Main St, Springfield Central QLD 4300",(07) 3418 3224,-27.676932972701,152.90222645767,https://www.oscarwylee.com.au/locations/locations/optometrist-springfield.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Strathpine Centre,35,Australia,QLD,Strathpine,4500,"Shop 89, Strathpine Centre, 295 Gympie Rd, Strathpine QLD 4500",(07) 3419 4556,-27.3072648,152.9890096,https://www.oscarwylee.com.au/locations/locations/optometrist-strathpine.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Grand Central Toowoomba,63,Australia,QLD,Toowoomba City,4350,"Shop 088, Grand Central Shopping Centre Margaret St Toowoomba City QLD 4350",07 4638 0036,-27.561157,151.949737,https://www.oscarwylee.com.au/locations/locations/optometrist-toowoomba.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Mt Gravatt,9,Australia,QLD,Upper Mount Gravatt,4122,"Shop 2340B, Westfield Mt Gravatt, Upper Mount Gravatt QLD 4122, Australia",(07) 3191 6185,-27.563978,153.0812571,https://www.oscarwylee.com.au/locations/locations/optometrist-mt-gravatt.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Elizabeth City Centre,113,Australia,SA,Elizabeth,5112,"Shop S090, Elizabeth City Centre, 50 Elizabeth Way, Elizabeth SA 5112",(08) 7373 3549,-34.717198049,138.66879444603,https://www.oscarwylee.com.au/locations/locations/optometrist-elizabeth.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Tea Tree Plaza,39,Australia,SA,Modbury,5092,"Shop 109, Westfield Tea Tree Plaza 976 North East Road, Modbury SA 5092",(08) 7230 2170,-34.8318139,138.6898561,https://www.oscarwylee.com.au/locations/locations/optometrist-tea-tree-plaza.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Colonnades,125,Australia,SA,Noarlunga Centre,5168,"Shop SP154, Colonnades Shopping Centre, Cnr Beach Road and Goldsmith Drive, Noarlunga Centre, SA 5168",(08) 7481 8658,-35.140779258905,138.49613037073,https://www.oscarwylee.com.au/locations/locations/optometrist-colonnades.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Marion,38,Australia,SA,Oaklands Park,5046,"Shop 1015, 297 Diagonal Rd, Oaklands Park, SA 5046",(08) 8296 3098,-35.0159323,138.5422182,https://www.oscarwylee.com.au/locations/locations/optometrist-marion.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Rundle Mall,69,Australia,SA,Rundle Mall Adelaide,5000,156 Rundle Mall Adelaide SA 5000,(08) 8123 9047,-34.922562,138.605298,https://www.oscarwylee.com.au/locations/locations/optometrist-rundle-mall.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
West Lakes,146,Australia,SA,West Lakes,5021,"Shop 335, Westfield West Lakes, 111 W Lakes Blvd, West Lakes SA 5021",(08) 6186 2334,-34.87913514404,138.49079342447,https://www.oscarwylee.com.au/locations/locations/optometrist-west-lakes.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Cat & Fiddle Arcade Hobart,56,Australia,TAS,Hobart,7000,"T16, Cat & Fiddle Arcade, 51 Murray St, Hobart TAS 7000",(03) 6200 1281,-42.882923,147.326805,https://www.oscarwylee.com.au/locations/locations/optometrist-hobart.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Launceston,110,Australia,TAS,Launceston,7250,"Shop 1, 82 Brisbane Street, Launceston, TAS 7250",(03) 6778 5159,-41.436586400268,147.13946731132,https://www.oscarwylee.com.au/locations/locations/optometrist-launceston.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Airport West,62,Australia,VIC,Airport West,3042,"Shop 57, Westfield Airport West, 29-35 Louis St Airport West VIC 3042",03 8597 2303,-37.7140962,144.883751,https://www.oscarwylee.com.au/locations/locations/optometrist-airport-west.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Bendigo Marketplace,109,Australia,VIC,Bendigo,3550,"Shop G008, Bendigo Marketplace, 116-120 Mitchell St, Bendigo VIC 3550",(03) 5400 2170,-36.765042179254,144.28001503863,https://www.oscarwylee.com.au/locations/locations/optometrist-bendigo.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Broadmeadows Central,121,Australia,VIC,Broadmeadows,3047,"Shop G092, Broadmeadows Central, 1099-1169 Pascoe Vale Road, Broadmeadows VIC 3047",(03) 9973 9162,-37.679981965912,144.91951036442,https://www.oscarwylee.com.au/locations/locations/optometrist-broadmeadows.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Chadstone Shopping Centre,14,Australia,VIC,Chadstone,3148,"Shop B-081, Chadstone Shopping Centre 1341 Dandenong Rd, Chadstone VIC 3148, Australia",03 9972 6771,-37.88615,145.0792,https://www.oscarwylee.com.au/locations/locations/optometrist-chadstone.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Southland,57,Australia,VIC,Cheltenham,3192,"Shop 2040 Westfield Southland 1239 Nepean Highway Cheltenham, VIC, 3192",(03) 8524 4617﻿,-37.958646,145.05294,https://www.oscarwylee.com.au/locations/locations/optometrist-southland.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Chirnside Park,29,Australia,VIC,Chirnside Park,3116,"SHOP 626A, 239-241 Maroondah Hwy, Chirnside Park VIC 3116",03 9727 5344,-37.757475,145.3106358,https://www.oscarwylee.com.au/locations/locations/optometrist-chirnside-park.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Craigieburn Central,138,Australia,VIC,Craigieburn,3064,"Craigieburn Central, Shop D32, 340 Craigieburn Road, Craigieburn VIC 3064",(03) 8313 5814,-37.592883219639,144.91104128936,https://www.oscarwylee.com.au/locations/locations/optometrist-craigieburn.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Cranbourne Park,86,Australia,VIC,Cranbourne,3977,"Cranbourne Park Shopping Centre SP107, 125 High St, Cranbourne VIC 3977",(03) 5992 1712,-38.108774900378,145.28226716898,https://www.oscarwylee.com.au/locations/locations/optometrist-cranbourne-park.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Doncaster,33,Australia,VIC,Doncaster,3108,"Shop 1144, Westfield Doncaster 619 Doncaster Rd & Williamsons Rd, Doncaster VIC 3108",(03) 9973 4267,-37.7845346,145.1239378,https://www.oscarwylee.com.au/locations/locations/optometrist-doncaster.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Pacific Epping,32,Australia,VIC,Epping,3076,"Shop 269, Pacific Epping 571-583 High St, Epping VIC 3076",(03) 9424 1546,-37.6538474,145.0150888,https://www.oscarwylee.com.au/locations/locations/optometrist-epping.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
