name,id,state,city,postal_code,full_address,phone,latitude,longitude,services
Ozmosis Bendigo,336,VIC,Bendigo,3550,"357 Hargreaves Street, Bendigo, VIC, 3550",03 9419 0163,-36.7613725,144.2789778,"Official Ozmosis store, Click & Collect"
Ozmosis Cranbourne,364,VIC,Cranbourne,3977,"Shop SP103 Cranbourne Park Shopping Centre, Cranbourne, VIC, 3977",03 5995 9664,-38.109828,145.2824625,"Official Ozmosis store, Click & Collect"
Ozmosis Echuca,329,VIC,Echuca,3564,"221 Pakenham Street, Echuca, VIC, 3564",03 5482 1232,-36.1284579,144.7505643,"Official Ozmosis store, Click & Collect"
Ozmosis Frankston,301,VIC,Frankston,3199,"28 Beach Street, Shop 140 Bayside Shopping Centre, Frankston, VIC, 3199",03 9781 2930,-38.1399556,145.1248234,"Official Ozmosis store, Click & Collect"
Ozmosis Lakes Entrance,335,VIC,Lakes Entrance,3909,"531 Esplanade, Lakes Entrance, VIC, 3909",03 4224 5002,-37.879309,147.9916459,"Official Ozmosis store, Click & Collect"
Ozmosis Leopold,323,VIC,Leopold,3224,"Shop G-052 Gateway Plaza, 641- 659 Bellarine Highway, Leopold, VIC, 3224",03 5250 6505,-38.186083,144.453829,"Official Ozmosis store, Click & Collect"
Ozmosis Lilydale,362,VIC,Lilydale,3140,"Shop 50-51 Lilydale Marketplace, 33-45 Hutchinson Street, Lilydale, VIC, 3140",03 9739 6452,-37.760195,145.348737,"Official Ozmosis store, Click & Collect"
Ozmosis Lorne,337,VIC,Lorne,3232,"142 Mountjoy Parade, Lorne, VIC, 3232",03 5289 1600,-38.5414811,143.9750715,"Official Ozmosis store, Click & Collect"
Ozmosis Woodgrove,309,VIC,Melton West,3337,"Woodgrove Shopping Centre Shop T129, 533-555 High Street, Melton West, VIC, 3337",03 9967 4688,-37.6860761,144.5639724,"Official Ozmosis store, Click & Collect"
Ozmosis Mildura,338,VIC,Mildura,3500,"Central Shopping Centre Tenancy G011/831, Fifteenth Street, Mildura, VIC, 3500",03 6156 4121,-34.2067999,142.138646,"Official Ozmosis store, Click & Collect"
Ozmosis Plenty Valley,306,VIC,Mill Park,3082,"54/415 McDonalds Road, Mill Park, VIC, 3082",03 9407 1568,-37.6512877,145.0721066,"Official Ozmosis store, Click & Collect"
Ozmosis Mornington,352,VIC,Mornington,3931,"78 Main Street, Mornington, VIC, 3931",03 5975 9608,-38.2188535,145.0382472,"Official Ozmosis store, Click & Collect"
Ozmosis Fountain Gate,305,VIC,Narre Warren,3805,"Westfield Fountain Gate, 1217-1218/352 Princes Highway, Narre Warren, VIC, 3805",03 9705 7285,-38.017924,145.3048791,"Official Ozmosis store, Click & Collect"
Ozmosis Pakenham,365,VIC,Pakenham,3810,"Pakenham Central Marketplace 26/50/54 John Street, Pakenham, VIC, 3810",03 5941 9611,-38.0772831,145.4826928,"Official Ozmosis store, Click & Collect"
Ozmosis Rosebud,353,VIC,Rosebud,3939,"Rosebud Shopping Centre, Shop R15 McCombe Street, Rosebud, VIC, 3939",03 5982 2433,-38.3609742,144.8917726,"Official Ozmosis store, Click & Collect"
Ozmosis Sale Plaza,331,VIC,Sale,3850,"24 Gippsland Centre, Shop 22/37-39 Cunninghame Street, Sale, VIC, 3850",03 5143 1051,-38.1066221,147.0629256,"Official Ozmosis store, Click & Collect"
Ozmosis Traralgon,368,VIC,Traralgon,3844,"Shop 35 Stockland Shopping Centre, 166-188 Franklin Street, Traralgon, VIC, 3844",03 5174 9099,-38.1949942,146.5397985,"Official Ozmosis store, Click & Collect"
Ozmosis Knox City,313,VIC,Wantirna South,3152,"Shop 1-2136 Westfield Knox City, 425 Burwood Highway, Wantirna South, VIC, 3152",03 8521 8070,-37.868245,145.2394344,"Official Ozmosis store, Click & Collect"
Ozmosis Warragul,366,VIC,Warragul,3820,"11 Victoria Street, Warragul, VIC, 3820",03 5622 0759,-38.1627771,145.93068,"Official Ozmosis store, Click & Collect"
Ozmosis Warrnambool,330,VIC,Warrnambool,3280,"136 Koroit Street, Warrnambool, VIC, 3280",03 5562 1981,-38.383252,142.4832744,"Official Ozmosis store, Click & Collect"
Ozmosis Waurn Ponds,325,VIC,Waurn Ponds,3216,"Shop 915 / 916 / 917/173-199 Pioneer Road, Waurn Ponds, VIC, 3216",03 5241 9321,-38.1991068,144.3193062,"Official Ozmosis store, Click & Collect"
Ozmosis Wendouree,326,VIC,Wendouree,3355,"Shop 009 Stockland Wendouree, Corner Norman & Gillies Street North, Wendouree, VIC, 3355",03 5338 2332,-37.5342322,143.8250986,"Official Ozmosis store, Click & Collect"
Ozmosis Shepparton,328,VIC,shepparton,3630,"195-197 Maude Street, shepparton, VIC, 3630",03 5821 4277,-36.3798829,145.4013196,"Official Ozmosis store, Click & Collect"
Ozmosis Baldivis,611,WA,Baldivis,6171,"Shop 039-39 Stockland Baldivis, 20 Settlers Avenue, Baldivis, WA, 6171",08 9523 0852,-32.3326,115.816539,"Official Ozmosis store, Click & Collect"
Ozmosis Belmont,601,WA,Cloverdale,6105,"97/277 Belmont Avenue, Cloverdale, WA, 6105",08 9479 4155,-31.9645031,115.9354763,"Official Ozmosis store, Click & Collect"
Ozmosis Falcon,614,WA,Falcon,6210,"Tenancy 21/3 Olive Road, Miami Plaza, Falcon, WA, 6210",08 9534 4344,-32.5837335,115.660489,"Official Ozmosis store, Click & Collect"
Ozmosis Innaloo,605,WA,Innaloo,6018,"Shop 1088 Ellen Stirling Boulevard, Innaloo, WA, 6018",08 9204 5328,-31.9009332,115.7993747,"Official Ozmosis store, Click & Collect"
Ozmosis Lakelands,613,WA,Lakelands,6180,"Shops 26-27 Lakelands Shopping Centre, 49 Banksiadale Gate, Lakelands, WA, 6180",08 7100 1995,-32.4708465,115.7601569,"Official Ozmosis store, Click & Collect"
Ozmosis Rockingham,608,WA,Rockingham,6168,"Shop T176 Rockingham Shopping Centre, Read Street, Rockingham, WA, 6168",08 9592 3405,-32.2899379,115.7436532,"Official Ozmosis store, Click & Collect"
