portfolio_asset_id,group_id,canonical_name,country,state,aliases,preferred_place_id,roles,ownership_percentage,gla_sqm,tenancy_count,annual_visits_m,source_url,source_type,source_date,last_verified_at,confidence,status,public_note
scentre-miranda,group-scentre,Westfield Miranda,Australia,NSW,,place-au-nsw-westfield-miranda,CO_OWNER|OPERATOR,50,128800,414,14.8,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-mt-druitt,group-scentre,Westfield Mt Druitt,Australia,NSW,Mt Druitt Westfield,place-au-nsw-mt-druitt-westfield,CO_OWNER|OPERATOR,50,65400,241,12.8,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-parramatta,group-scentre,Westfield Parramatta,Australia,NSW,Parramatta Westfield,place-au-nsw-parramatta-westfield,CO_OWNER|OPERATOR,50,140100,425,33.3,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-penrith,group-scentre,Westfield Penrith,Australia,NSW,,place-au-nsw-westfield-penrith,CO_OWNER|OPERATOR,50,91700,310,18.1,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-sydney,group-scentre,Westfield Sydney,Australia,NSW,,place-au-nsw-westfield-sydney,CO_OWNER|OPERATOR,80.1,97500,269,34.9,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre retained 80.1 percent after the 19.9 percent divestment noted as settling 3 February 2026
scentre-tuggerah,group-scentre,Westfield Tuggerah,Australia,NSW,,place-au-nsw-westfield-tuggerah,OWNER|OPERATOR,100,85100,234,7.7,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group owns and operates this portfolio asset
scentre-warringah-mall,group-scentre,Westfield Warringah Mall,Australia,NSW,Warringah Mall,place-au-nsw-westfield-warringah-mall,CO_OWNER|OPERATOR,50,131900,362,11.0,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-carindale,group-scentre,Westfield Carindale,Australia,QLD,Carindale,place-au-qld-westfield-carindale,CO_OWNER|OPERATOR,50,136000,375,13.6,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-chermside,group-scentre,Westfield Chermside,Australia,QLD,Chermside,place-au-qld-westfield-chermside,CO_OWNER|OPERATOR,50,176400,487,18.0,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-coomera,group-scentre,Westfield Coomera,Australia,QLD,,place-au-qld-westfield-coomera,CO_OWNER|OPERATOR,50,57900,163,6.6,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-helensvale,group-scentre,Westfield Helensvale,Australia,QLD,Helensvale Westfield,place-au-qld-helensvale-westfield,CO_OWNER|OPERATOR,50,44900,174,6.7,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-mt-gravatt,group-scentre,Westfield Mt Gravatt,Australia,QLD,Upper Mt Gravatt Westfield,place-au-qld-mt-gravatt-westfield,OWNER|OPERATOR,100,141700,376,17.4,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group owns and operates this portfolio asset
scentre-north-lakes,group-scentre,Westfield North Lakes,Australia,QLD,,place-au-qld-westfield-north-lakes,CO_OWNER|OPERATOR,50,115000,263,12.2,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-marion,group-scentre,Westfield Marion,Australia,SA,Marion East Westfield Lvl 2,place-au-sa-westfield-marion,CO_OWNER|OPERATOR,50,138300,303,12.5,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-tea-tree-plaza,group-scentre,Westfield Tea Tree Plaza,Australia,SA,Tea Tree Plaza,place-au-sa-westfield-tea-tree-plaza,CO_OWNER|OPERATOR,50,99200,240,12.2,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-west-lakes,group-scentre,Westfield West Lakes,Australia,SA,,place-au-sa-westfield-west-lakes,CO_OWNER|OPERATOR,50,71400,216,7.1,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-airport-west,group-scentre,Westfield Airport West,Australia,VIC,,place-au-vic-westfield-airport-west,CO_OWNER|OPERATOR,50,52900,160,6.9,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-doncaster,group-scentre,Westfield Doncaster,Australia,VIC,,place-au-vic-westfield-doncaster,CO_OWNER|OPERATOR,50,123100,406,15.4,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-fountain-gate,group-scentre,Westfield Fountain Gate,Australia,VIC,,place-au-vic-westfield-fountain-gate,OWNER|OPERATOR,100,173200,412,15.3,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group owns and operates this portfolio asset
scentre-geelong,group-scentre,Westfield Geelong,Australia,VIC,,place-au-vic-westfield-geelong,CO_OWNER|OPERATOR,50,52000,153,7.3,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-knox,group-scentre,Westfield Knox,Australia,VIC,,place-au-vic-westfield-knox,CO_OWNER|OPERATOR,50,141400,376,14.2,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-plenty-valley,group-scentre,Westfield Plenty Valley,Australia,VIC,Plenty Valley Westfield,place-au-vic-plenty-valley-westfield,CO_OWNER|OPERATOR,50,63400,185,8.7,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-southland,group-scentre,Westfield Southland,Australia,VIC,Southland,place-au-vic-westfield-southland,CO_OWNER|OPERATOR,50,129300,366,13.5,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-booragoon,group-scentre,Westfield Booragoon,Australia,WA,,place-au-wa-westfield-booragoon,CO_OWNER|OPERATOR,50,72400,229,8.2,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-carousel,group-scentre,Westfield Carousel,Australia,WA,Carousel,place-au-wa-westfield-carousel,OWNER|OPERATOR,100,109700,339,13.3,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group owns and operates this portfolio asset
scentre-innaloo,group-scentre,Westfield Innaloo,Australia,WA,,place-au-wa-westfield-innaloo,OWNER|OPERATOR,100,47200,151,8.7,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group owns and operates this portfolio asset
scentre-whitford-city,group-scentre,Westfield Whitford City,Australia,WA,,place-au-wa-westfield-whitford-city,CO_OWNER|OPERATOR,50,85100,277,7.0,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-albany,group-scentre,Westfield Albany,New Zealand,Auckland,,place-nz-auckland-westfield-albany,CO_OWNER|OPERATOR,51,53300,145,8.4,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-manukau,group-scentre,Westfield Manukau,New Zealand,Auckland,Manukau Westfield,place-nz-auckland-manukau-westfield,CO_OWNER|OPERATOR,51,44800,170,6.8,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-newmarket,group-scentre,Westfield Newmarket,New Zealand,Auckland,Newmarket Westfield,place-nz-auckland-newmarket-westfield,CO_OWNER|OPERATOR,51,86800,249,12.7,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-riccarton,group-scentre,Westfield Riccarton,New Zealand,Canterbury,Riccarton Westfield,place-nz-canterbury-riccarton-westfield,CO_OWNER|OPERATOR,51,55000,178,10.6,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-st-lukes,group-scentre,Westfield St Lukes,New Zealand,Auckland,,place-nz-auckland-westfield-st-lukes,CO_OWNER|OPERATOR,51,39800,161,5.6,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
qic-castle-towers,group-qic,Castle Towers,Australia,NSW,,place-au-nsw-castle-towers,MANAGER|OPERATOR,,110329,223,18.6,https://www.qicre.com/properties/castle-towers,Official property profile,2025-12-31,2026-09-02,High,ACTIVE,QIC Real Estate publishes the current property profile and scale metrics
qic-canberra-centre,group-qic,Canberra Centre,Australia,ACT,,place-au-act-canberra-centre,MANAGER|OPERATOR,,94967,212,19.7,https://www.qicre.com/properties/canberra-centre,Official property profile,2025-12-31,2026-09-02,High,ACTIVE,QIC Real Estate publishes the current property profile and scale metrics
qic-eastland,group-qic,Eastland,Australia,VIC,,place-au-vic-eastland,MANAGER|OPERATOR,,124058,313,14.0,https://www.qicre.com/properties/eastland,Official property profile,2025-12-31,2026-09-02,High,ACTIVE,QIC Real Estate publishes the current property profile and scale metrics
qic-watergardens,group-qic,Watergardens,Australia,VIC,Watergardens Town Centre,place-au-vic-watergardens-town-centre,MANAGER|OPERATOR,,,,,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Official current managed-portfolio report,2025-06-30,2026-09-02,High,ACTIVE,QIC Real Estate lists this asset in its current managed portfolio
qic-hyperdome,group-qic,Hyperdome,Australia,QLD,Logan Hyperdome,place-au-qld-logan-hyperdome,MANAGER|OPERATOR,,,,,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Official current managed-portfolio report,2025-06-30,2026-09-02,High,ACTIVE,QIC Real Estate lists this asset in its current managed portfolio
qic-robina-town-centre,group-qic,Robina Town Centre,Australia,QLD,Robina Town Centre Dr,place-au-qld-robina-town-centre-dr,MANAGER|OPERATOR,,156662,295,13.6,https://www.qicre.com/properties/robina-town-centre,Official property profile,2025-12-31,2026-09-02,High,ACTIVE,QIC Real Estate publishes the current property profile and scale metrics
qic-grand-central,group-qic,Grand Central,Australia,QLD,Toowoomba Grand Central Shopping Centre,place-au-qld-toowoomba-grand-central-shopping-centre,MANAGER|OPERATOR,,89792,220,10.7,https://www.qicre.com/properties/grand-central,Official property profile,2025-12-31,2026-09-02,High,ACTIVE,QIC Real Estate publishes the current property profile and scale metrics
qic-werribee,group-qic,Werribee,Australia,VIC,Werribee Plaza,place-au-vic-werribee-plaza,MANAGER|OPERATOR,,,,,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Official current managed-portfolio report,2025-06-30,2026-09-02,High,ACTIVE,QIC Real Estate lists this asset in its current managed portfolio
qic-epping,group-qic,Epping,Australia,VIC,Pacific Epping,place-au-vic-pacific-epping,MANAGER|OPERATOR,,,,,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Official current managed-portfolio report,2025-06-30,2026-09-02,High,ACTIVE,QIC Real Estate lists this asset in its current managed portfolio
qic-coomera-town-centre,group-qic,Coomera Town Centre,Australia,QLD,,,MANAGER|OPERATOR,,,,,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Official current managed-portfolio report,2025-06-30,2026-09-02,High,ACTIVE,QIC Real Estate lists this asset in its current managed portfolio
qic-big-top,group-qic,Big Top,Australia,QLD,,,MANAGER|OPERATOR,,,,,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Official current managed-portfolio report,2025-06-30,2026-09-02,High,ACTIVE,QIC Real Estate lists this asset in its current managed portfolio
qic-forest-lake,group-qic,Forest Lake,Australia,QLD,,,MANAGER|OPERATOR,,,,,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Official current managed-portfolio report,2025-06-30,2026-09-02,High,ACTIVE,QIC Real Estate lists this asset in its current managed portfolio
qic-kippa-ring,group-qic,Kippa-ring,Australia,QLD,Kippa-Ring Shopping Centre,place-au-unknown-kippa-ring-shopping-centre,MANAGER|OPERATOR,,,,,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Official current managed-portfolio report,2025-06-30,2026-09-02,High,ACTIVE,QIC Real Estate lists this asset in its current managed portfolio
qic-nerang-mall,group-qic,Nerang Mall,Australia,QLD,Nerang Mall Shopping Centre,place-au-unknown-nerang-mall-shopping-centre,MANAGER|OPERATOR,,,,,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Official current managed-portfolio report,2025-06-30,2026-09-02,High,ACTIVE,QIC Real Estate lists this asset in its current managed portfolio
qic-village-upper-mt-gravatt,group-qic,The Village Upper Mount Gravatt,Australia,QLD,,,MANAGER|OPERATOR,,,,,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Official current managed-portfolio report,2025-06-30,2026-09-02,High,ACTIVE,QIC Real Estate lists this asset in its current managed portfolio
qic-pittwater-place,group-qic,Pittwater Place,Australia,NSW,,,MANAGER|OPERATOR,,,,,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Official current managed-portfolio report,2025-06-30,2026-09-02,High,ACTIVE,QIC Real Estate lists this asset in its current managed portfolio
qic-craigieburn-junction,group-qic,Craigieburn Junction,Australia,VIC,,place-au-unknown-craigieburn-junction,MANAGER|OPERATOR,,,,,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Official current managed-portfolio report,2025-06-30,2026-09-02,High,ACTIVE,QIC Real Estate lists this asset in its current managed portfolio
qic-domain-central,group-qic,Domain Central,Australia,QLD,,place-au-qld-domain-central,MANAGER|OPERATOR,,,,,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Official current managed-portfolio report,2025-06-30,2026-09-02,High,ACTIVE,QIC Real Estate lists this asset in its current managed portfolio
qic-bathurst-city-centre,group-qic,Bathurst City Centre,Australia,NSW,,place-au-nsw-bathurst-city-centre,MANAGER|OPERATOR,,,,,https://esg.qicre.com/esg/2025-sustainability-report/our-performance/,Official current managed-portfolio report,2025-06-30,2026-09-02,High,ACTIVE,QIC Real Estate lists this asset in its current managed portfolio
gpt-highpoint,group-gpt,Highpoint Shopping Centre,Australia,VIC,Highpoint,place-au-vic-highpoint-shopping-centre,CO_OWNER|MANAGER|OPERATOR,25,149600,420,,https://www.gpt.com.au/property/retail/highpoint-shopping-centre,Official property profile,2026-09-02,2026-09-02,High,ACTIVE,GPT identifies its 25 percent interest and the centre's current scale
gpt-wholesale-highpoint,group-gpt-wholesale-shopping-centre-fund,Highpoint Shopping Centre,Australia,VIC,Highpoint,place-au-vic-highpoint-shopping-centre,CO_OWNER,75,,,,https://www.gpt.com.au/property/retail/highpoint-shopping-centre,Official property profile,2026-09-02,2026-09-02,High,ACTIVE,GPT identifies the fund's 75 percent interest
gpt-pacific-fair,group-gpt,Pacific Fair Shopping Centre,Australia,QLD,Pacific Fair,place-au-qld-pacific-fair,MANAGER|OPERATOR,,,,,https://www.gpt.com.au/property/retail/pacific-fair-shopping-centre,Official property profile,2026-09-02,2026-09-02,High,ACTIVE,GPT publishes and manages the official property profile; ownership is not asserted by this row
vicinity-bayside,group-vicinity,Bayside,Australia,VIC,Frankston Bayside Centre,place-au-vic-frankston-bayside-centre,OWNER|MANAGER|OPERATOR,100,90435,,,https://www.vicinity.com.au/pages/portfolio/our-properties/bayside,Official property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports a 100 percent ownership interest and current centre facts
vicinity-northland,group-vicinity,Northland,Australia,VIC,,place-au-vic-northland,CO_OWNER|MANAGER|OPERATOR,50,98158,,,https://www.vicinity.com.au/pages/portfolio/our-properties/northland,Official property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports a 50 percent ownership interest and current centre facts
vicinity-the-glen,group-vicinity,The Glen,Australia,VIC,,place-au-vic-the-glen,CO_OWNER|MANAGER|OPERATOR,50,76488,,,https://www.vicinity.com.au/pages/portfolio/our-properties/the-glen,Official property profile,2025-12-31,2026-09-02,High,ACTIVE,Vicinity reports a 50 percent ownership interest and current centre facts
kiwi-sylvia-park,group-kiwi-property,Sylvia Park shopping centre,New Zealand,Auckland,Sylvia Park Mall,place-nz-auckland-sylvia-park-mall,OWNER|OPERATOR,,,220,,https://www.kiwiproperty.com/properties/sylvia-park,Official property profile,2026-09-02,2026-09-02,High,ACTIVE,Kiwi Property identifies Sylvia Park in its owned and operated portfolio and reports well over 200 retailers
stride-queensgate,group-stride,Queensgate Shopping Centre,New Zealand,Wellington,,place-nz-wellington-queensgate-shopping-centre,MANAGER,,,130,,https://strideproperty.co.nz/portfolios/,Official managed-portfolio page,2026-09-02,2026-09-02,High,ACTIVE,Stride identifies Queensgate as a managed shopping-centre asset with over 130 tenants
diversified-queensgate,group-diversified-nz,Queensgate Shopping Centre,New Zealand,Wellington,,place-nz-wellington-queensgate-shopping-centre,OWNER,,,,,https://strideproperty.co.nz/portfolios/,Official managed-portfolio page,2026-09-02,2026-09-02,High,ACTIVE,Stride states that Diversified owns the managed shopping-centre portfolio
stride-chartwell,group-stride,Chartwell Shopping Centre,New Zealand,Waikato,,place-nz-waikato-chartwell-shopping-centre,MANAGER,,,100,,https://strideproperty.co.nz/portfolios/,Official managed-portfolio page,2026-09-02,2026-09-02,High,ACTIVE,Stride identifies Chartwell as a managed shopping-centre asset with over 100 tenants
diversified-chartwell,group-diversified-nz,Chartwell Shopping Centre,New Zealand,Waikato,,place-nz-waikato-chartwell-shopping-centre,OWNER,,,,,https://strideproperty.co.nz/portfolios/,Official managed-portfolio page,2026-09-02,2026-09-02,High,ACTIVE,Stride states that Diversified owns the managed shopping-centre portfolio
fawkner-erina-fair,group-fawkner,Erina Fair,Australia,NSW,,place-au-nsw-erina-fair,OWNER|MANAGER|OPERATOR,100,114598,292,11.0,https://www.fawknerproperty.com.au/portfolio/erina-fair,Official owner portfolio,2026-01-20,2026-09-02,High,ACTIVE,Fawkner reports its completed 100 percent acquisition and publishes current centre facts
