group_id,canonical_name,parent_group_id,brand_name,group_type,country_scope,official_url,status,source_url,last_verified_at,confidence
group-colliers,Colliers,,,EXTERNAL_AGENCY,Australia and New Zealand,https://www.colliers.com.au/,Active,https://www.colliers.com.au/,2026-09-02,High
group-jll,JLL,,,EXTERNAL_AGENCY,Australia and New Zealand,https://www.jll.com.au/,Active,https://www.jll.com.au/,2026-09-02,High
group-cushman-wakefield,Cushman & Wakefield,,,EXTERNAL_AGENCY,Australia and New Zealand,https://www.cushmanwakefield.com/en-australia,Active,https://www.cushmanwakefield.com/en-australia,2026-09-02,High
group-knight-frank,Knight Frank,,,EXTERNAL_AGENCY,Australia and New Zealand,https://www.knightfrank.com.au/,Active,https://www.knightfrank.com.au/,2026-09-02,High
group-savills,Savills,,,EXTERNAL_AGENCY,Australia and New Zealand,https://www.savills.com.au/,Active,https://www.savills.com.au/,2026-09-02,High
group-bayleys,Bayleys,,,EXTERNAL_AGENCY,New Zealand,https://www.bayleys.co.nz/,Active,https://www.bayleys.co.nz/,2026-09-02,High
group-millwater-park,Millwater Park Limited,,,PRIVATE_LANDLORD,New Zealand,https://silverdalemall.co.nz/,Active,https://silverdalemall.co.nz/,2026-09-02,High
group-barfoot-commercial,Barfoot & Thompson Commercial,,,EXTERNAL_AGENCY,New Zealand,https://www.barfoot.co.nz/commercial,Active,https://www.barfoot.co.nz/commercial,2026-09-02,High
group-brisbane-airport,Brisbane Airport Corporation,,,PROPERTY_COMPANY,Australia,https://www.bne.com.au/corporate,Active,https://www.bne.com.au/corporate,2026-09-02,High
group-centa-property,Centa Property Group,,,CENTRE_OPERATOR,Australia,https://centaproperty.com.au/,Active,https://centaproperty.com.au/,2026-09-02,High
group-mcconaghy,McConaghy Retail,,,CENTRE_OPERATOR,Australia,https://www.mcconaghygroup.com/,Active,https://www.mcconaghygroup.com/,2026-09-02,Medium
group-pure-property,Pure Property Management,,,CENTRE_OPERATOR,Australia,https://www.purepm.com.au/,Active,https://www.purepm.com.au/,2026-09-02,Medium
group-revelop,Revelop,,,PROPERTY_COMPANY,Australia,https://www.revelop.com.au/,Active,https://www.revelop.com.au/,2026-09-02,High
group-elanor-investors,Elanor Investors Group,,,ASSET_MANAGER,Australia,https://www.elanorinvestors.com/,Active,https://www.elanorinvestors.com/investments/asset/riverton-forum,2026-09-02,High
group-riverton-forum-fund,Riverton Forum Fund,group-elanor-investors,,INVESTMENT_VEHICLE,Australia,https://www.elanorinvestors.com/investors/managed-fund/riverton-forum-fund,Active,https://www.elanorinvestors.com/investors/managed-fund/riverton-forum-fund,2026-09-02,High
group-total-retail-group,Total Retail Group,,,EXTERNAL_AGENCY,Australia,https://rivertonforum.com.au/contact/,Active,https://rivertonforum.com.au/contact/,2026-09-02,High
group-hines,Hines,,,ASSET_MANAGER,Global,https://www.hines.com/,Active,https://haben.com.au/news/hines-acquires-first-retail-asset-in-asia-pacific-in-partnership-with-haben,2026-09-02,High
group-jy-group,JY Group,,,PRIVATE_LANDLORD,Australia,https://www.thejygroup.com/,Active,https://www.thejygroup.com/,2026-09-02,High
group-ifm-real-estate-core-fund,IFM Real Estate Core Fund,group-ifm-investors,,INVESTMENT_VEHICLE,Australia,https://www.ifminvestors.com/en-au/capabilities/private-markets/infrastructure,Active,https://www.vicinity.com.au/portfolio/our-properties/mandurah-forum,2026-09-02,High
group-lendlease,Lendlease,,,ASSET_MANAGER,Australia,https://www.lendlease.com/investment-management/,Active,https://www.lendlease.com/investment-management/,2026-09-02,High
group-appf-retail,Australian Prime Property Fund Retail,group-lendlease,APPF Retail,INVESTMENT_VEHICLE,Australia,https://www.lendlease.com/au/media-centre/media-releases/lendlease-fund-australias-most-sustainable-in-retail/,Active,https://www.lendlease.com/au/media-centre/media-releases/lendlease-fund-australias-most-sustainable-in-retail/,2026-09-02,High
group-eg-funds-management,EG Funds Management,,,ASSET_MANAGER,Australia,https://eg.com.au/,Active,https://www.vicinity.com.au/portfolio/our-properties/grand-plaza,2026-09-02,High
group-salta-properties,Salta Properties,,,PROPERTY_COMPANY,Australia,https://www.salta.com.au/,Active,https://www.vicinity.com.au/portfolio/our-properties/victoria-gardens-shopping-centre,2026-09-02,High
group-arkadia,Arkadia,,,PROPERTY_COMPANY,Australia,https://arkadia.com.au/,Active,https://www.vicinity.com.au/portfolio/our-properties/sunshine-marketplace,2026-09-02,High
group-dexus-wholesale-property-fund,Dexus Wholesale Property Fund,group-dexus,DWPF,INVESTMENT_VEHICLE,Australia,https://www.dexus.com/investing/funds/unlisted/dexus-wholesale-property-fund-dwpf.html,Active,https://www.dexus.com/content/dam/dexus/common/project/dexus/dexuscom/files/articles/crs-reports/2024/2024-dexus-annual-report.pdf,2026-09-02,High
group-unisuper,UniSuper,,UniSuper,INVESTMENT_VEHICLE,Australia,https://www.unisuper.com.au/about-us/investments,Active,https://www.gpt.com.au/news-insights/media-releases/karrinyup-achieves-1-billion-annual-sales-spurred-demand-retail,2026-09-02,High
group-perron,Perron Group,,Perron Group,PROPERTY_COMPANY,Australia,https://www.perrongroup.com.au/,Active,https://www.gpt.com.au/sites/default/files/inline-uploads/The%20GPT%20Group%202024%20Annual%20Report.pdf,2026-09-02,High
group-retail-first,Retail First,,Retail First,ASSET_MANAGER,Australia,https://www.retailfirst.com.au/,Active,https://www.retailfirst.com.au/our-centres/,2026-09-02,High
group-yfg-shopping-centres,YFG Shopping Centres,,YFG,PRIVATE_LANDLORD,Australia,https://www.retailfirst.com.au/,Active,https://www.retailfirst.com.au/news/strathpine-centre,2026-09-02,High
group-vitocco-enterprises,Vitocco Enterprises,,,PROPERTY_COMPANY,Australia,https://www.vitoccoenterprises.com.au/,Active,https://www.vitoccoenterprises.com.au/property,2026-09-02,High
group-greenfields,Greenfields,,,PRIVATE_LANDLORD,Australia,https://greenfields.net.au/,Active,https://www.vitoccoenterprises.com.au/property,2026-09-02,High
group-dart-west-retail,Dart West Retail,,,ASSET_MANAGER,Australia,https://www.narellantowncentre.com.au/,Active,https://www.narellantowncentre.com.au/exclusive-offers,2026-09-02,High
group-one-retail,One Retail,,,EXTERNAL_AGENCY,Australia,https://www.tweedcity.com.au/centre-information/leasing/,Active,https://www.tweedcity.com.au/centre-information/leasing/,2026-09-02,High
group-charter-hall-retail-reit,Charter Hall Retail REIT,group-charter-hall,CQR,INVESTMENT_VEHICLE,Australia,https://www.charterhall.com.au/investments/funds/charter-hall-retail-reit,Active,https://www.charterhall.com.au/property/property-detail/Orange-Central-Square,2026-09-02,High
group-ifm-investors,IFM Investors,,,ASSET_MANAGER,Australia,https://www.ifminvestors.com/,Active,https://www.mirvac.com/investor-centre/property-portfolio/retail/kawana-shoppingworld,2026-09-02,High
group-capitaland-integrated-commercial-trust,CapitaLand Integrated Commercial Trust,,CICT,INVESTMENT_VEHICLE,Australia and Singapore,https://www.capitalandinvest.com/en/our-businesses/fund-management/listed-funds/capitaland-integrated-commercial-trust.html,Active,https://www.mirvac.com/investor-centre/property-portfolio/retail/greenwood-plaza,2026-09-02,High
group-keppel-reit,Keppel REIT,,Keppel REIT,INVESTMENT_VEHICLE,Singapore and Australia,https://www.keppelreit.com/,Active,https://mafinancial.com/insights/ma-financial-acquires-interest-in-top-ryde-city-shopping-centre,2026-09-02,High
group-ma-top-ryde-fund,MA-managed Top Ryde fund,group-ma-financial,,INVESTMENT_VEHICLE,Australia,https://mafinancial.com/,Active,https://mafinancial.com/insights/ma-financial-acquires-interest-in-top-ryde-city-shopping-centre,2026-09-02,High
group-stockwell,Stockwell,,,PROPERTY_COMPANY,Australia,https://www.stockwell.com.au/,Active,https://www.noosacivicshopping.com.au/noosa-civic-retail-centre-shopping-services-in-noosaville/,2026-09-02,High
group-st-ives-shopping-village-ownership,St Ives Shopping Village ownership,,,PRIVATE_LANDLORD,Australia,https://stivesvillage.com.au/,Active,https://stivesvillage.com.au/leasing-enquiries/,2026-09-02,High
