previous_place_id,canonical_place_id,reason
place-au-qld-shop-319-sunshine-plaza,place-au-qld-sunshine-plaza,Evidence-backed place identity consolidation
place-au-qld-smithfield-shopping-centre,place-au-qld-cairns-smithfield-centre,Evidence-backed place identity consolidation
place-au-qld-stockland-rockhampton,place-au-qld-stockland-rockhampton-shopping-centre,Evidence-backed place identity consolidation
place-au-qld-sunny-park-shopping-centre,place-au-unknown-sunny-park-shopping-centre,Canonical centre consolidation
place-au-qld-sunnybank-hills-shoppingtown,place-au-unknown-sunnybank-hills-shoppingtown,Canonical centre consolidation
place-au-qld-upper-mt-gravatt-westfield,place-au-qld-mt-gravatt-westfield,Evidence-backed place identity consolidation
place-au-qld-westfield-garden-city,place-au-qld-mt-gravatt-westfield,Evidence-backed place identity consolidation
place-au-sa-elizabeth-city-centre,place-au-sa-elizabeth-shopping-centre,Evidence-backed place identity consolidation
place-au-sa-ingle-farm-shopping-centre,place-au-sa-ingle-farm-plaza,Evidence-backed place identity consolidation
place-au-sa-marion-east-westfield-lvl-2,place-au-sa-westfield-marion,Evidence-backed place identity consolidation
place-au-sa-mitcham-square,place-au-sa-mitcham-shopping-centre,Canonical centre consolidation
place-au-sa-north-mall,place-au-sa-elizabeth-shopping-centre,Evidence-backed place identity consolidation
place-au-sa-tea-tree-plaza,place-au-sa-westfield-tea-tree-plaza,Evidence-backed place identity consolidation
place-au-tas-rosny-park-eastlands-shopping-centre,place-au-tas-hobart-eastlands,Evidence-backed place identity consolidation
place-au-unknown-casuarina-square,place-au-nt-casuarina-square,Evidence-backed place identity consolidation
place-au-unknown-cs-square-shopping-centre,place-au-vic-caroline-springs-square,Evidence-backed place identity consolidation
place-au-unknown-riverlink-shopping-centre,place-au-qld-ipswich-riverlink-shopping-centre,Evidence-backed place identity consolidation
place-au-unknown-westfield-fountain-gate-shopping-centre,place-au-vic-westfield-fountain-gate,Evidence-backed place identity consolidation
place-au-vic-bayside-centre,place-au-vic-frankston-bayside-centre,Evidence-backed place identity consolidation
place-au-vic-broadmeadows-central,place-au-vic-broadmeadows-shopping-centre,Evidence-backed place identity consolidation
place-au-vic-cnr-centre-valley-rd-princes-dr,place-au-vic-mid-valley-shopping-centre,Evidence-backed place identity consolidation
place-au-vic-cranbourne-park-shopping-centre,place-au-vic-cranbourne-park-shopping-centre-sp107,Evidence-backed place identity consolidation
place-au-vic-gateway-shopping-village,place-au-unknown-the-gateway-shopping-centre,Evidence-backed place identity consolidation
place-au-vic-hearing-southland,place-au-vic-westfield-southland,Evidence-backed place identity consolidation
place-au-vic-melbourne-central-shopping-centre-ground-level,place-au-vic-melbourne-central-shopping-centre,Evidence-backed place identity consolidation
place-au-vic-pacific-werribee,place-au-vic-werribee-plaza,Evidence-backed place identity consolidation
place-au-vic-pacific-werribee-shopping-centre,place-au-vic-werribee-plaza,Evidence-backed place identity consolidation
place-au-vic-rosebud-plaza,place-au-vic-rosebud-plaza-shopping-centre,Evidence-backed place identity consolidation
