retailer,store_id,affiliations,name,status,country,state,suburb,postcode,full_address,phone,latitude,longitude,official_url,services,audiology,venue_name,venue_id,location_type,classification_confidence,classification_basis,store_area_sqm,area_measure,area_source,area_date,area_confidence,source_url,fetched_at
Independent / Other optical,independent-other-optical-osm-ne-way-879150414,,Eye Style,Mapped,New Zealand,Auckland,,,New Zealand,,-36.7717019,174.7655976,https://www.openstreetmap.org/way/879150414,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/way/879150414,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-ne-node-10892579810,,Island Eyes,Mapped,New Zealand,Auckland,,,New Zealand,,-36.782887,175.0097977,https://www.openstreetmap.org/node/10892579810,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/10892579810,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-ne-node-6162557005,,Milford Optometrists,Mapped,New Zealand,Auckland,,,New Zealand,,-36.7722534,174.7639767,https://www.openstreetmap.org/node/6162557005,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/6162557005,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-ne-node-14086659006,,Mortimer Hirst - eyecare & eyewear,Mapped,New Zealand,Auckland,,,"Tāmaki Drive, New Zealand",,-36.8505378,174.857297,https://www.openstreetmap.org/node/14086659006,Optical / optician listing,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.openstreetmap.org/node/14086659006,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-ne-node-11204116311,,Optics1,Mapped,New Zealand,Auckland,,,New Zealand,,-36.8474043,174.7667549,https://www.openstreetmap.org/node/11204116311,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/11204116311,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-ne-way-911692375,,Sunnies,Mapped,New Zealand,Auckland,,,New Zealand,,-36.9214536,174.7867834,https://www.openstreetmap.org/way/911692375,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/way/911692375,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-ne-node-4396978791,,The Eye Place,Mapped,New Zealand,Auckland,,,New Zealand,+64 9 426 0084,-36.5855139,174.6937367,https://www.openstreetmap.org/node/4396978791,Optical / optician listing,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.openstreetmap.org/node/4396978791,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-ne-node-2660761055,,Visionx,Mapped,New Zealand,Auckland,,,New Zealand,,-36.8560113,174.7805967,https://www.openstreetmap.org/node/2660761055,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/2660761055,2026-09-01T07:48:20.085579Z
OPSM,opsm-nz-1309,,OPSM Albany,Active,New Zealand,Auckland,Albany,0632,"219 Don Mckinnon Dr, Albany, AKL, 0632",(09) 414 0214,-36.72871,174.70773,https://www.opsm.co.nz/find-store,"Kids Vision Centre, Collect & Return",false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.co.nz/find-store,2026-09-01T07:42:29+00:00
Bailey Nelson,bailey-nelson-nz-optometrist-ponsonby,,Bailey Nelson Ponsonby,Active,New Zealand,Auckland,Auckland,1011,"Shop 4, 160 Ponsonby Road, Auckland, NI, 1011",+6499419836,-36.855511,174.7460373,https://baileynelson.co.nz/pages/optometrist-ponsonby,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://baileynelson.co.nz/pages/optometrist-ponsonby,2026-09-01T07:43:01+00:00
Bailey Nelson,bailey-nelson-nz-optometrist-sylvia-park,,Bailey Nelson Sylvia Park,Active,New Zealand,Auckland,Auckland,1060,"Shop 252, 286 Mount Wellington Highway, Mount Wellington, Auckland, NI, 1060",+6499419990,-36.9174341,174.842355,https://baileynelson.co.nz/pages/optometrist-sylvia-park,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://baileynelson.co.nz/pages/optometrist-sylvia-park,2026-09-01T07:43:01+00:00
OPSM,opsm-nz-1689,,OPSM Auckland Manukau,Active,New Zealand,Auckland,Auckland,2104,"Great South Rd & Wiri Station Rd, Auckland, AKL, 2104",(09) 263 7605,-36.99147,174.88192,https://www.opsm.co.nz/find-store,"Kids Vision Centre, Collect & Return",false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.co.nz/find-store,2026-09-01T07:42:29+00:00
OPSM,opsm-nz-4712,,OPSM Mt Eden,Active,New Zealand,Auckland,Auckland,1023,"Mt Eden Road, Auckland, AUK, 1023",09 630 3280,-36.882,174.7623,https://www.opsm.co.nz/find-store,Dry Eye,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.co.nz/find-store,2026-09-01T07:42:29+00:00
Specsavers,specsavers-nz-3841,,Silverdale,Active,New Zealand,Auckland,Auckland,0930,"10/75 Silverdale Street, Shop PR10, Silverdale, Auckland, 0930",09 428 0845,-36.61328,174.68007,https://www.specsavers.co.nz/stores/silverdale,Optometry; Audiology,true,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.specsavers.co.nz/stores/silverdale,2026-09-01T23:21:29.969Z
Oscar Wylee,oscar-wylee-nz-optometrist-auckland-cbd,,Oscar Wylee Auckland CBD,Active,New Zealand,Auckland,Auckland CBD,1010,"Shop S9, 163 Queen Street, Auckland CBD, Auckland 1010",09 282 0368,-36.847641330406674,174.76513282605924,https://www.oscarwylee.co.nz/locations/optometrist-auckland-cbd.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.oscarwylee.co.nz/locations/optometrist-auckland-cbd.html,2026-09-01T07:45:57.558Z
Bailey Nelson,bailey-nelson-nz-optometrist-auckland-cbd,,Bailey Nelson Auckland CBD,Active,New Zealand,Auckland,Auckland Central,1010,"Shop 8 Level 2, 7 Queen Street, Auckland Central, NI, 1010",+6499419833,-36.8439417,174.7660562,https://baileynelson.co.nz/pages/optometrist-auckland-cbd,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://baileynelson.co.nz/pages/optometrist-auckland-cbd,2026-09-01T07:43:01+00:00
OPSM,opsm-nz-2833,,OPSM Lincoln North,Active,New Zealand,Auckland,Henderson,0610,"192 Universal Dr, Henderson, AKL, 0610",(09) 837 2627,-36.85577,174.62935,https://www.opsm.co.nz/find-store,,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.co.nz/find-store,2026-09-01T07:42:29+00:00
OPSM,opsm-nz-2929,,OPSM Northwest,Active,New Zealand,Auckland,Massey,0814,"Maki St, Massey, AKL, 0814",(09) 974 0766,-36.81766,174.61109,https://www.opsm.co.nz/find-store,"Dry Eye, Kids Vision Centre, Collect & Return",false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.co.nz/find-store,2026-09-01T07:42:29+00:00
OPSM,opsm-nz-1684,,OPSM Milford,Active,New Zealand,Auckland,Milford,0620,"SHOP WH04B, 24 MILFORD RD, Milford, AKL, 0620",(09) 489 8070,-36.77095,174.7653,https://www.opsm.co.nz/find-store,"Dry Eye, Kids Vision Centre, Collect & Return",false,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.opsm.co.nz/find-store,2026-09-01T07:42:29+00:00
OPSM,opsm-nz-1646,,OPSM Auckland Newmarket,Active,New Zealand,Auckland,Newmarket,1023,"277 Broadway Newmarket, Newmarket, AKL, 1023",(09) 524 8850,-36.871,174.77659,https://www.opsm.co.nz/find-store,Collect & Return,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.co.nz/find-store,2026-09-01T07:42:29+00:00
OPSM,opsm-nz-2353,,OPSM Silverdale,Active,New Zealand,Auckland,Silverdale,0932,"61 Silverdale, Silverdale, AKL, 0932",(09) 426 7902,-36.61493,174.68071,https://www.opsm.co.nz/find-store,"Kids Vision Centre, Collect & Return",false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.co.nz/find-store,2026-09-01T07:42:29+00:00
Independent / Other optical,independent-other-optical-osm-ne-node-5551688223,,Fischer fischer,Mapped,New Zealand,Bay of Plenty,,,New Zealand,,-37.638037,176.1824425,https://www.openstreetmap.org/node/5551688223,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/5551688223,2026-09-01T07:48:20.085579Z
OPSM,opsm-nz-1390,,OPSM Bayfair,Active,New Zealand,Bay of Plenty,Mount Maunganui,3116,"Mt Maunganui Rd & Girven Rd, Mount Maunganui, BOP, 3116",(07) 575 0185,-37.67488,176.22389,https://www.opsm.co.nz/find-store,Collect & Return,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.co.nz/find-store,2026-09-01T07:42:29+00:00
Specsavers,specsavers-nz-3863,,Tauranga Crossing,Active,New Zealand,Bay of Plenty,Tauranga,3110,"Shop RS207, 1-5 Taurikura Drive, Tauranga Crossing, Tauranga, 3110",07 543 5570,-37.737015,176.10573,https://www.specsavers.co.nz/stores/tauranga-crossing,Optometry; Audiology,true,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.specsavers.co.nz/stores/tauranga-crossing,2026-09-01T23:21:29.969Z
OPSM,opsm-nz-2830,,Whakatane Optometrist by OPSM,Active,New Zealand,Bay of Plenty,Whakatane,3120,"185 The Strand, Whakatane, AKL, 3120",(07) 308 8487,-37.95195,176.9949,https://www.opsm.co.nz/find-store,,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.co.nz/find-store,2026-09-01T07:42:29+00:00
Specsavers,specsavers-nz-3853,,Whakatane,Active,New Zealand,Bay of Plenty,Whakatane,3120,"184 The Strand, Whakatane, 3120",07 308 2154,-37.951527,176.99525,https://www.specsavers.co.nz/stores/whakatane,Optometry; Audiology,true,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.specsavers.co.nz/stores/whakatane,2026-09-01T23:21:29.969Z
Independent / Other optical,independent-other-optical-osm-ne-node-4757538924,,FOATE Optometry,Mapped,New Zealand,Canterbury,,,New Zealand,,-43.5574386,172.7036358,https://www.openstreetmap.org/node/4757538924,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/4757538924,2026-09-01T07:48:20.085579Z
Bailey Nelson,bailey-nelson-nz-optometrist-riccarton,,Bailey Nelson Riccarton,Active,New Zealand,Canterbury,Christchurch,8041,"Shop 234, 129 Riccarton Road, Christchurch, SI, 8041",+6439306644,-43.5308029,172.598759,https://baileynelson.co.nz/pages/optometrist-riccarton,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://baileynelson.co.nz/pages/optometrist-riccarton,2026-09-01T07:43:01+00:00
OPSM,opsm-nz-1620,,OPSM The Crossing,Active,New Zealand,Canterbury,Christchurch,8011,"The Crossing, Kivers Ln, Christchurch, CHC, 8011",(03) 379 6307,-43.534,172.63756,https://www.opsm.co.nz/find-store,Collect & Return,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.co.nz/find-store,2026-09-01T07:42:29+00:00
Independent / Other optical,independent-other-optical-osm-ne-node-4523027569,,Spec Savers,Mapped,New Zealand,Gisborne,,,New Zealand,,-38.6656132,178.0251638,https://www.openstreetmap.org/node/4523027569,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/4523027569,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-ne-node-12611705756,,Sternsen Kain,Mapped,New Zealand,Gisborne,,,New Zealand,,-38.6644351,178.0235598,https://www.openstreetmap.org/node/12611705756,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/12611705756,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-ne-node-13475253028,,Eyes on Broadway,Mapped,New Zealand,Manawatu-Whanganui,,,New Zealand,+64 6 357 9782,-40.3501669,175.6210561,https://www.eyesonbroadway.co.nz/,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/13475253028,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-ne-node-13312432427,,Visique,Mapped,New Zealand,Manawatu-Whanganui,,,New Zealand,,-40.452169,175.8411927,https://www.openstreetmap.org/node/13312432427,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/13312432427,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-3981216558,,1001 Optical,Mapped,Australia,NSW,,,Australia,,-33.8766872,151.2063955,https://www.openstreetmap.org/node/3981216558,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/3981216558,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-12769119364,,Blue Frog Optics,Mapped,Australia,NSW,,,Australia,,-31.9578837,141.4659196,https://www.openstreetmap.org/node/12769119364,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/12769119364,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-12803835793,,Bupa Optical,Mapped,Australia,NSW,,,Australia,,-33.768156,151.2661442,https://www.openstreetmap.org/node/12803835793,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/12803835793,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-way-496416221,,Bupa Optical,Mapped,Australia,NSW,,,Australia,,-32.9429091,151.7111788,https://www.openstreetmap.org/way/496416221,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/way/496416221,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-4491736791,,Bupa Optical & Hearing,Mapped,Australia,NSW,,,Australia,,-33.7955379,151.1851698,https://www.openstreetmap.org/node/4491736791,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/4491736791,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-4547826400,,Chestr Hill Optical,Mapped,Australia,NSW,,,Australia,,-33.883048,150.9989612,https://www.openstreetmap.org/node/4547826400,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/4547826400,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-4546298895,,City Specs,Mapped,Australia,NSW,,,Australia,,-33.9210628,150.9241635,https://www.openstreetmap.org/node/4546298895,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/4546298895,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-8512027148,,Eye Catchers,Mapped,Australia,NSW,,,Australia,,-33.7952636,151.1853505,https://www.openstreetmap.org/node/8512027148,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/8512027148,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-2613244951,,Eye care Optometrist,Mapped,Australia,NSW,,,Australia,,-34.0546197,151.151824,https://www.openstreetmap.org/node/2613244951,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/2613244951,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-12706665276,,EyeQ,Mapped,Australia,NSW,,,Australia,,-34.6383705,148.0246682,https://www.openstreetmap.org/node/12706665276,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/12706665276,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-4678091420,,Eyecare on Q,Mapped,Australia,NSW,,,Australia,+61 2 6299 2020,-35.3512981,149.2331395,https://www.openstreetmap.org/node/4678091420,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/4678091420,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-11898341739,,Eyedealeyes Optometrist,Mapped,Australia,NSW,,,Australia,,-33.9142715,151.1530678,https://www.openstreetmap.org/node/11898341739,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/11898341739,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-5893744923,,Eyes in Design,Mapped,Australia,NSW,,,Australia,,-33.8861234,151.2733351,https://www.openstreetmap.org/node/5893744923,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/5893744923,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-4996717724,,Flanders and Smith,Mapped,Australia,NSW,,,Australia,,-34.3139009,148.2993861,https://www.openstreetmap.org/node/4996717724,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/4996717724,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-10866980758,,Florentine Eyewear,Mapped,Australia,NSW,,,Australia,,-33.9081277,150.9212848,https://www.openstreetmap.org/node/10866980758,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/10866980758,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-7176563988,,Forestway Optometry,Mapped,Australia,NSW,,,Australia,,-33.7388677,151.2101153,https://www.openstreetmap.org/node/7176563988,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/7176563988,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-9894830475,,George and Matilda Eyecare,Mapped,Australia,NSW,,,Australia,,-33.8232525,151.1942819,https://www.openstreetmap.org/node/9894830475,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/9894830475,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-9318665504,,Glamoureyes,Mapped,Australia,NSW,,,Australia,,-33.7570576,150.6929493,https://www.openstreetmap.org/node/9318665504,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/9318665504,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-4353406489,,Hornsby Optical,Mapped,Australia,NSW,,,Australia,,-33.704036,151.1015408,https://www.openstreetmap.org/node/4353406489,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/4353406489,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-13889357142,,Hunter Eye Surgeons,Mapped,Australia,NSW,,,Australia,,-32.7606645,151.5910751,https://www.openstreetmap.org/node/13889357142,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/13889357142,2026-09-01T07:48:20.085579Z
