store_id,retailer,country,state,store_name,place_id,place_name,location_setting,mapping_confidence,evidence_basis,evidence_url,verified_at,previous_venue_id,review_status,usable_for_network
opsm-2265,OPSM,Australia,ACT,OPSM Weston,corridor-au-act-weston-creek-brierly-street,Brierly Street,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01,,Accepted,true
specsavers-3657,Specsavers,Australia,ACT,Weston Creek,place-au-act-cooleman-court,Cooleman Court,Shopping Centre,High,Official Specsavers store address explicitly names Shop 007 Cooleman Court,https://www.specsavers.com.au/stores/westoncreek,2026-09-02,,Accepted,true
opsm-1226,OPSM,Australia,ACT,OPSM Woden,place-au-act-westfield-woden,Westfield Woden,Shopping Centre,Medium,Store and centre names overlap and coordinates are within 125 m,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01,,Accepted,true
independent-other-optical-osm-ne-node-7009136867,Independent / Other optical,New Zealand,Auckland,Campbell And Campbell,,,Uncertain,Uncertain,Location setting needs consultant review,https://campbelloptom.co.nz,2026-09-01,,Needs review,false
independent-other-optical-osm-ne-node-6923678892,Independent / Other optical,New Zealand,Auckland,Cassidy Eyecare,,,Uncertain,Uncertain,Location setting needs consultant review,https://www.openstreetmap.org/node/6923678892,2026-09-01,,Needs review,false
independent-other-optical-osm-ne-node-6169401087,Independent / Other optical,New Zealand,Auckland,Crenshaw Opticians and Optometrists,,,Uncertain,Uncertain,Location setting needs consultant review,https://www.openstreetmap.org/node/6169401087,2026-09-01,,Needs review,false
independent-other-optical-osm-ne-way-879150414,Independent / Other optical,New Zealand,Auckland,Eye Style,,,Uncertain,Uncertain,Location setting needs consultant review,https://www.openstreetmap.org/way/879150414,2026-09-01,,Needs review,false
independent-other-optical-osm-ne-node-10892579810,Independent / Other optical,New Zealand,Auckland,Island Eyes,,,Uncertain,Uncertain,Location setting needs consultant review,https://www.openstreetmap.org/node/10892579810,2026-09-01,,Needs review,false
independent-other-optical-osm-ne-node-13822996704,Independent / Other optical,New Zealand,Auckland,Matthews Eyecare,corridor-nz-auckland-auckland-jervois-road,Jervois Road,High Street,Medium,Numbered street address without a corroborated centre match,https://www.openstreetmap.org/node/13822996704,2026-09-01,,Accepted,false
independent-other-optical-osm-ne-node-6162557005,Independent / Other optical,New Zealand,Auckland,Milford Optometrists,,,Uncertain,Uncertain,Location setting needs consultant review,https://www.openstreetmap.org/node/6162557005,2026-09-01,,Needs review,false
independent-other-optical-osm-ne-node-13805150403,Independent / Other optical,New Zealand,Auckland,Mortimer Hirst,corridor-nz-auckland-auckland-hurstmere-road,Hurstmere Road,High Street,Medium,Numbered street address without a corroborated centre match,http://MortimerHirst.co.nz,2026-09-01,,Accepted,false
independent-other-optical-osm-ne-node-14086659006,Independent / Other optical,New Zealand,Auckland,Mortimer Hirst - eyecare & eyewear,corridor-nz-auckland-auckland-tamaki-drive,Tāmaki Drive,High Street,Medium,Numbered street address without a corroborated centre match,https://www.openstreetmap.org/node/14086659006,2026-09-01,,Accepted,false
independent-other-optical-osm-ne-node-5466762097,Independent / Other optical,New Zealand,Auckland,Nath Optometrists,corridor-nz-auckland-auckland-ponsonby-road,Ponsonby Road,High Street,Medium,Numbered street address without a corroborated centre match,http://nathsoptometrists.co.nz,2026-09-01,,Accepted,false
independent-other-optical-osm-ne-node-11204116311,Independent / Other optical,New Zealand,Auckland,Optics1,,,Uncertain,Uncertain,Location setting needs consultant review,https://www.openstreetmap.org/node/11204116311,2026-09-01,,Needs review,false
independent-other-optical-osm-ne-way-911692375,Independent / Other optical,New Zealand,Auckland,Sunnies,,,Uncertain,Uncertain,Location setting needs consultant review,https://www.openstreetmap.org/way/911692375,2026-09-01,,Needs review,false
independent-other-optical-osm-ne-node-4396978791,Independent / Other optical,New Zealand,Auckland,The Eye Place,,,Uncertain,Uncertain,Location setting needs consultant review,https://www.openstreetmap.org/node/4396978791,2026-09-01,,Needs review,false
independent-other-optical-osm-ne-node-12594285407,Independent / Other optical,New Zealand,Auckland,The Eyecare Practice,corridor-nz-auckland-auckland-queens-road,Queens Road,High Street,Medium,Numbered street address without a corroborated centre match,https://www.openstreetmap.org/node/12594285407,2026-09-01,,Accepted,false
independent-other-optical-osm-ne-node-10086117777,Independent / Other optical,New Zealand,Auckland,Vision Centre,place-nz-auckland-vision-centre,Vision Centre,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.openstreetmap.org/node/10086117777,2026-09-01,auckland-vision,Accepted,false
independent-other-optical-osm-ne-node-2660761055,Independent / Other optical,New Zealand,Auckland,Visionx,,,Uncertain,Uncertain,Location setting needs consultant review,https://www.openstreetmap.org/node/2660761055,2026-09-01,,Needs review,false
independent-other-optical-osm-ne-way-262147882,Independent / Other optical,New Zealand,Auckland,Visique,place-nz-auckland-onehunga-mall,Onehunga Mall,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.openstreetmap.org/way/262147882,2026-09-01,auckland-onehunga,Accepted,false
opsm-nz-1309,OPSM,New Zealand,Auckland,OPSM Albany,place-nz-auckland-westfield-albany,Westfield Albany,Shopping Centre,Medium,Store and centre names overlap and coordinates are within 125 m,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
oscar-wylee-nz-optometrist-albany,Oscar Wylee,New Zealand,Auckland,Oscar Wylee Westfield Albany,place-nz-auckland-westfield-albany,Westfield Albany,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.oscarwylee.co.nz/locations/optometrist-albany.html,2026-09-01,auckland-albany-westfield,Accepted,true
bailey-nelson-nz-optometrist-albany-auckland,Bailey Nelson,New Zealand,Auckland,Bailey Nelson Albany,place-nz-auckland-westfield-albany,Westfield Albany,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://baileynelson.co.nz/pages/optometrist-albany-auckland,2026-09-01,auckland-albany-westfield,Accepted,true
bailey-nelson-nz-optometrist-ponsonby,Bailey Nelson,New Zealand,Auckland,Bailey Nelson Ponsonby,corridor-nz-auckland-auckland-ponsonby-road,Ponsonby Road,High Street,High,Official store address is a street-front retail tenancy at 160 Ponsonby Road,https://baileynelson.co.nz/pages/optometrist-ponsonby,2026-09-01,,Accepted,true
bailey-nelson-nz-optometrist-st-lukes,Bailey Nelson,New Zealand,Auckland,Bailey Nelson St Lukes - Now Open,place-nz-auckland-westfield-st-lukes,Westfield St Lukes,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://baileynelson.co.nz/pages/optometrist-st-lukes,2026-09-01,auckland-lukes-st-westfield,Accepted,true
bailey-nelson-nz-optometrist-sylvia-park,Bailey Nelson,New Zealand,Auckland,Bailey Nelson Sylvia Park,place-nz-auckland-sylvia-park-mall,Sylvia Park Mall,Shopping Centre,High,Official Sylvia Park directory lists Bailey Nelson as a centre tenant,https://www.sylviapark.com/stores/bailey-nelson-coming-soon/,2026-09-01,,Accepted,true
bailey-nelson-nz-optometrist-takapuna,Bailey Nelson,New Zealand,Auckland,Bailey Nelson Takapuna,corridor-nz-auckland-auckland-hurstmere-road,Hurstmere Road,High Street,Medium,Numbered street address without a corroborated centre match,https://baileynelson.co.nz/pages/optometrist-takapuna,2026-09-01,,Accepted,true
independent-other-optical-osm-ne-node-5913292096,Independent / Other optical,New Zealand,Auckland,Highbury Optometrists,corridor-nz-auckland-auckland-mokoia-road,Mokoia Road,High Street,Medium,Numbered street address without a corroborated centre match,https://www.highburyeye.co.nz/,2026-09-01,,Accepted,true
opsm-nz-1689,OPSM,New Zealand,Auckland,OPSM Auckland Manukau,place-nz-auckland-manukau-westfield,Manukau Westfield,Shopping Centre,Medium,Store and centre names overlap and coordinates are within 125 m,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
opsm-nz-4712,OPSM,New Zealand,Auckland,OPSM Mt Eden,corridor-nz-auckland-auckland-mt-eden-road,Mt Eden Road,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
opsm-nz-1612,OPSM,New Zealand,Auckland,OPSM Queen Street Auckland,corridor-nz-auckland-auckland-queen-street,Queen Street,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
opsm-nz-1682,OPSM,New Zealand,Auckland,OPSM Remuera,corridor-nz-auckland-auckland-remuera-road,Remuera Road,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
specsavers-nz-3801,Specsavers,New Zealand,Auckland,Albany Westfield,place-nz-auckland-westfield-albany,Westfield Albany,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.co.nz/stores/albany,2026-09-01,auckland-albany-westfield,Accepted,true
specsavers-nz-3842,Specsavers,New Zealand,Auckland,Auckland CBD,corridor-nz-auckland-auckland-queen-street,Queen Street,High Street,Medium,Numbered street address without a corroborated centre match,https://www.specsavers.co.nz/stores/aucklandcbd,2026-09-01,,Accepted,true
specsavers-nz-3827,Specsavers,New Zealand,Auckland,Botany,place-nz-auckland-botany-town-centre,Botany Town Centre,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.co.nz/stores/botany,2026-09-01,auckland-botany-town,Accepted,true
specsavers-nz-3811,Specsavers,New Zealand,Auckland,Glenfield Mall,place-nz-auckland-glenfield-mall,Glenfield Mall,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.co.nz/stores/glenfield,2026-09-01,auckland-glenfield,Accepted,true
specsavers-nz-3806,Specsavers,New Zealand,Auckland,Henderson - WestCity S/C,place-nz-auckland-westcity-waitakere-shopping-centre,WestCity Waitakere Shopping Centre,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.co.nz/stores/henderson,2026-09-01,auckland-waitakere-westcity,Accepted,true
specsavers-nz-3809,Specsavers,New Zealand,Auckland,Manukau Westfield,place-nz-auckland-manukau-westfield,Manukau Westfield,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.co.nz/stores/manukau,2026-09-01,auckland-manukau-westfield,Accepted,true
specsavers-nz-3807,Specsavers,New Zealand,Auckland,Massey - NorthWest S/C,place-nz-auckland-northwest-shopping-centre,Northwest Shopping Centre,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.co.nz/stores/massey,2026-09-01,auckland-northwest,Accepted,true
specsavers-nz-3865,Specsavers,New Zealand,Auckland,Mt Roskill,corridor-nz-auckland-auckland-stoddard-road,Stoddard Road,High Street,Medium,Numbered street address without a corroborated centre match,https://www.specsavers.co.nz/stores/mtroskill,2026-09-01,,Accepted,true
specsavers-nz-3866,Specsavers,New Zealand,Auckland,Mt Wellington,corridor-nz-auckland-auckland-lunn-avenue,Lunn Avenue,High Street,Medium,Numbered street address without a corroborated centre match,https://www.specsavers.co.nz/stores/mtwellington,2026-09-01,,Accepted,true
specsavers-nz-3849,Specsavers,New Zealand,Auckland,Newmarket Westfield,place-nz-auckland-newmarket-westfield,Newmarket Westfield,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.co.nz/stores/newmarket,2026-09-01,auckland-newmarket-westfield,Accepted,true
specsavers-nz-3875,Specsavers,New Zealand,Auckland,Onehunga,place-nz-auckland-onehunga-mall,Onehunga Mall,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.co.nz/stores/onehunga,2026-09-01,auckland-onehunga,Accepted,true
specsavers-nz-3828,Specsavers,New Zealand,Auckland,Papakura,corridor-nz-auckland-auckland-great-south-road,Great South Road,High Street,Medium,Numbered street address without a corroborated centre match,https://www.specsavers.co.nz/stores/papakura,2026-09-01,,Accepted,true
specsavers-nz-3814,Specsavers,New Zealand,Auckland,Pukekohe,corridor-nz-auckland-auckland-king-street,King Street,High Street,Medium,Numbered street address without a corroborated centre match,https://www.specsavers.co.nz/stores/pukekohe,2026-09-01,,Accepted,true
specsavers-nz-3841,Specsavers,New Zealand,Auckland,Silverdale,place-nz-auckland-silverdale-mall,Silverdale Mall,Shopping Centre,High,Official Silverdale Mall directory lists Specsavers as a current tenant,https://silverdalemall.co.nz/store/specsavers/,2026-09-02,,Accepted,true
specsavers-nz-3829,Specsavers,New Zealand,Auckland,Sylvia Park Mall,place-nz-auckland-sylvia-park-mall,Sylvia Park Mall,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.co.nz/stores/sylviapark,2026-09-01,auckland-park-sylvia,Accepted,true
specsavers-nz-3802,Specsavers,New Zealand,Auckland,Takapuna Shore City,corridor-nz-auckland-auckland-anzac-street,Anzac Street,High Street,Medium,Numbered street address without a corroborated centre match,https://www.specsavers.co.nz/stores/takapuna,2026-09-01,,Accepted,true
oscar-wylee-nz-optometrist-auckland-cbd,Oscar Wylee,New Zealand,Auckland,Oscar Wylee Auckland CBD,corridor-nz-auckland-auckland-cbd-queen-street,Queen Street,High Street,High,Official store page places the tenancy in the Colonial Building on Queen Street rather than in a shopping centre,https://www.oscarwylee.co.nz/locations/optometrist-auckland-cbd.html,2026-09-02,,Accepted,true
bailey-nelson-nz-optometrist-auckland-cbd,Bailey Nelson,New Zealand,Auckland,Bailey Nelson Auckland CBD,place-nz-auckland-commercial-bay,Commercial Bay,Shopping Centre,High,Public city-centre directory identifies the tenancy as Level 2 Commercial Bay,https://heartofthecity.co.nz/auckland-shopping/bailey-nelson,2026-09-01,,Accepted,true
opsm-nz-1692,OPSM,New Zealand,Auckland,OPSM Browns Bay,corridor-nz-auckland-browns-bay-clyde-road,Clyde Road,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
bailey-nelson-nz-optometrist-botany,Bailey Nelson,New Zealand,Auckland,Bailey Nelson Botany,place-nz-auckland-botany-town-centre,Botany Town Centre,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://baileynelson.co.nz/pages/optometrist-botany,2026-09-01,auckland-botany-town,Accepted,true
opsm-nz-1630,OPSM,New Zealand,Auckland,OPSM Botany Downs,place-nz-auckland-botany-town-centre,Botany Town Centre,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.opsm.co.nz/find-store,2026-09-01,auckland-botany-town,Accepted,true
specsavers-nz-3871,Specsavers,New Zealand,Auckland,Ormiston,place-nz-auckland-ormiston-town-centre,Ormiston Town Centre,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.co.nz/stores/ormiston,2026-09-01,auckland-ormiston-town,Accepted,true
opsm-nz-2833,OPSM,New Zealand,Auckland,OPSM Lincoln North,corridor-nz-auckland-henderson-universal-drive,Universal Drive,High Street,Medium,Best-judgement street-address classification; no centre evidence found,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
opsm-nz-1642,OPSM,New Zealand,Auckland,OPSM West City,corridor-nz-auckland-henderson-catherine-street,Catherine Street,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
oscar-wylee-nz-optometrist-manukau,Oscar Wylee,New Zealand,Auckland,Oscar Wylee Manukau,place-nz-auckland-manukau-westfield,Manukau Westfield,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.oscarwylee.co.nz/locations/optometrist-manukau.html,2026-09-01,auckland-city-manukau-westfield,Accepted,true
specsavers-nz-3874,Specsavers,New Zealand,Auckland,Manukau Supa Centa,place-nz-auckland-manukau-city-centre,Manukau City Centre,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.co.nz/stores/manukau-supa-centa,2026-09-01,auckland-city-manukau,Accepted,true
opsm-nz-2929,OPSM,New Zealand,Auckland,OPSM Northwest,corridor-nz-auckland-massey-maki-street,Maki Street,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
opsm-nz-1684,OPSM,New Zealand,Auckland,OPSM Milford,place-nz-auckland-milford-centre,Milford Centre,Shopping Centre,High,Official Milford Centre directory lists OPSM as a tenant,https://milfordcentre.co.nz/listing/opsm/,2026-09-02,,Accepted,true
opsm-nz-1687,OPSM,New Zealand,Auckland,OPSM St Lukes,place-nz-auckland-westfield-st-lukes,Westfield St Lukes,Shopping Centre,Medium,Store and centre names overlap and coordinates are within 125 m,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
specsavers-nz-3825,Specsavers,New Zealand,Auckland,St Lukes Westfield,place-nz-auckland-westfield-st-lukes,Westfield St Lukes,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.co.nz/stores/stlukes,2026-09-01,auckland-lukes-st-westfield,Accepted,true
opsm-nz-2911,OPSM,New Zealand,Auckland,OPSM Sylvia Park,place-nz-auckland-sylvia-park-mall,Sylvia Park Mall,Shopping Centre,Medium,Store and centre names overlap and coordinates are within 125 m,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
opsm-nz-1686,OPSM,New Zealand,Auckland,OPSM Lynnmall,place-nz-auckland-lynnmall-shopping-centre,LynnMall Shopping Centre,Shopping Centre,Medium,Store and centre names overlap and coordinates are within 125 m,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
oscar-wylee-nz-optometrist-new-lynn,Oscar Wylee,New Zealand,Auckland,Oscar Wylee Lynn Mall,place-nz-auckland-lynn-mall,Lynn Mall,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.oscarwylee.co.nz/locations/optometrist-new-lynn.html,2026-09-01,auckland-lynn,Accepted,true
specsavers-nz-3808,Specsavers,New Zealand,Auckland,New Lynn LynnMall,place-nz-auckland-lynnmall-shopping-centre,LynnMall Shopping Centre,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.co.nz/stores/newlynn,2026-09-01,auckland-lynnmall,Accepted,true
opsm-nz-1646,OPSM,New Zealand,Auckland,OPSM Auckland Newmarket,place-nz-auckland-newmarket-westfield,Newmarket Westfield,Shopping Centre,Medium,Store and centre names overlap and coordinates are within 125 m,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
opsm-nz-1602,OPSM,New Zealand,Auckland,OPSM Papakura,corridor-nz-auckland-papakura-great-south-road,Great South Road,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
opsm-nz-2926,OPSM,New Zealand,Auckland,OPSM OPTIK EYECARE BY OPSM,corridor-nz-auckland-pukekohe-hill-hall-street,Hall Street,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
opsm-nz-1688,OPSM,New Zealand,Auckland,OPSM Royal Oak,corridor-nz-auckland-royal-oak-manukau-road,Manukau Road,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
opsm-nz-2353,OPSM,New Zealand,Auckland,OPSM Silverdale,place-nz-auckland-silverdale-centre,Silverdale Centre,Shopping Centre,High,Official Silverdale Centre directory lists OPSM at Shop 11B 61 Silverdale Street,https://silverdalecentre.co.nz/opsm/,2026-09-02,,Accepted,true
opsm-nz-1683,OPSM,New Zealand,Auckland,OPSM St Heliers,corridor-nz-auckland-st-heliers-st-heliers-bay-road,St Heliers Bay Road,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
opsm-nz-2832,OPSM,New Zealand,Auckland,OPSM Hurstmere Takapuna Beach,corridor-nz-auckland-takapuna-hurstmere-road,Hurstmere Road,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
independent-other-optical-osm-ne-node-5551688223,Independent / Other optical,New Zealand,Bay of Plenty,Fischer fischer,,,Uncertain,Uncertain,Location setting needs consultant review,https://www.openstreetmap.org/node/5551688223,2026-09-01,,Needs review,false
opsm-nz-1390,OPSM,New Zealand,Bay of Plenty,OPSM Bayfair,place-nz-bay-of-plenty-bayfair-shopping-centre,Bayfair Shopping Centre,Shopping Centre,Medium,Store and centre names overlap and coordinates are within 125 m,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
opsm-nz-1625,OPSM,New Zealand,Bay of Plenty,OPSM Rotorua,corridor-nz-bay-of-plenty-rotorua-pukuatua-street,Pukuatua Street,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
specsavers-nz-3822,Specsavers,New Zealand,Bay of Plenty,Rotorua,corridor-nz-bay-of-plenty-rotorua-eruera-street,Eruera Street,High Street,Medium,Numbered street address without a corroborated centre match,https://www.specsavers.co.nz/stores/rotorua,2026-09-01,,Accepted,true
bailey-nelson-nz-optometrist-tauranga,Bailey Nelson,New Zealand,Bay of Plenty,Bailey Nelson Tauranga,place-nz-bay-of-plenty-bayfair-shopping-centre,Bayfair Shopping Centre,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://baileynelson.co.nz/pages/optometrist-tauranga,2026-09-01,bay-of-plenty-bayfair,Accepted,true
opsm-nz-1412,OPSM,New Zealand,Bay of Plenty,OPSM Tauranga,corridor-nz-bay-of-plenty-tauranga-taurikura-drive,Taurikura Drive,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.co.nz/find-store,2026-09-01,,Accepted,true
specsavers-nz-3812,Specsavers,New Zealand,Bay of Plenty,Mt. Maunganui - Bayfair S/C,place-nz-bay-of-plenty-bayfair-shopping-centre,Bayfair Shopping Centre,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.co.nz/stores/mtmaunganui,2026-09-01,bay-of-plenty-bayfair,Accepted,true
specsavers-nz-3839,Specsavers,New Zealand,Bay of Plenty,Tauranga CBD,corridor-nz-bay-of-plenty-tauranga-devonport-road,Devonport Road,High Street,Medium,Numbered street address without a corroborated centre match,https://www.specsavers.co.nz/stores/tauranga,2026-09-01,,Accepted,true
specsavers-nz-3863,Specsavers,New Zealand,Bay of Plenty,Tauranga Crossing,place-nz-bay-of-plenty-tauranga-crossing,Tauranga Crossing,Shopping Centre,High,Official store name and address explicitly identify Tauranga Crossing,https://www.specsavers.co.nz/stores/tauranga-crossing,2026-09-02,,Accepted,true
