name,sap_id,identifier,country,state,city,postal_code,full_address,phone,latitude,longitude,services,hours,official_url,status,audiology
OPSM OPTIK EYECARE BY OPSM,2926,OPSM OPTIK EYECARE BY OPSM_2926,New Zealand,Auckland,Pukekohe Hill,2120,"20 Hall Street, Pukekohe Hill, AKL, 2120",(09) 238 3796,-37.19877,174.90491,"Dry Eye, Collect & Return",Mon: 08:30-17:00; Tue: 08:30-17:00; Wed: 08:30-17:00; Thu: 08:30-17:00; Fri: 08:30-17:00; Sat: 08:30-17:00; Sun: 08:30-17:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Royal Oak,1688,OPSM Royal Oak_1688,New Zealand,Auckland,Royal Oak,1023,"691 Manukau Rd, Royal Oak, AKL, 1023",(09) 624 2094,-36.91047,174.77481,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 10:00-19:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-17:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Silverdale,2353,OPSM Silverdale_2353,New Zealand,Auckland,Silverdale,0932,"61 Silverdale, Silverdale, AKL, 0932",(09) 426 7902,-36.61493,174.68071,"Kids Vision Centre, Collect & Return",Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-18:00; Fri: 09:00-18:00; Sat: 09:00-17:00; Sun: 10:00-17:00,https://www.opsm.co.nz/find-store,Active,false
OPSM St Heliers,1683,OPSM St Heliers_1683,New Zealand,Auckland,St Heliers,1071,"16-20 St Heliers Bay Rd, St Heliers, AKL, 1071",(09) 575 5568,-36.8507,174.85767,Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-17:30; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Hurstmere Takapuna Beach,2832,OPSM Hurstmere Takapuna Beach_2832,New Zealand,Auckland,Takapuna,0622,"62-78 Hurstmere Rd, Takapuna, AKL, 0622",(09) 488 7132,-36.7869,174.77247,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
Whakatane Optometrist by OPSM,2830,Whakatane Optometrist by OPSM_2830,New Zealand,Auckland,Whakatane,3120,"185 The Strand, Whakatane, AKL, 3120",(07) 308 8487,-37.95195,176.9949,,Mon: 08:30-17:00; Tue: 08:30-17:00; Wed: 08:30-17:00; Thu: 08:30-17:00; Fri: 08:30-17:00; Sat: 09:00-16:00; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Bayfair,1390,OPSM Bayfair_1390,New Zealand,Bay of Plenty,Mount Maunganui,3116,"Mt Maunganui Rd &amp; Girven Rd, Mount Maunganui, BOP, 3116",(07) 575 0185,-37.67488,176.22389,Collect & Return,Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-21:00; Sat: 09:00-18:00; Sun: 09:00-18:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Rotorua,1625,OPSM Rotorua_1625,New Zealand,Bay of Plenty,Rotorua,3010,"1129 Pukuatua St, Rotorua, BOP, 3010",(07) 348 5288,-38.13673,176.25293,"Dry Eye, Collect & Return",Mon: 08:30-17:00; Tue: 08:30-17:00; Wed: 08:30-17:00; Thu: 08:30-17:00; Fri: 08:30-17:00; Sat: 09:00-17:00; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Tauranga,1412,OPSM Tauranga_1412,New Zealand,Bay of Plenty,Tauranga,3110,"2 Taurikura Drive, Tauranga, BOP, 3110",(07) 578 7703,-37.73721,176.10546,Audiology,Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-20:00; Fri: 09:00-18:00; Sat: 09:00-18:00; Sun: 09:00-18:00,https://www.opsm.co.nz/find-store,Active,true
OPSM Hornby,1010,OPSM Hornby_1010,New Zealand,Canterbury,Christchurch,8441,"418 Main South Rd, Christchurch, CHC, 8441",(03)349 3155,-43.54264,172.52378,Collect & Return,Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-18:00; Sat: 09:00-18:00; Sun: 10:00-18:00,https://www.opsm.co.nz/find-store,Active,false
OPSM The Crossing,1620,OPSM The Crossing_1620,New Zealand,Canterbury,Christchurch,8011,"The Crossing, Kivers Ln, Christchurch, CHC, 8011",(03) 379 6307,-43.534,172.63756,Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-17:00,https://www.opsm.co.nz/find-store,Active,false
Kaiapoi Eyecare,2949,Kaiapoi Eyecare_2949,New Zealand,Canterbury,Kaiapoi,7630,"192 Williams Street Kaiapoi, Kaiapoi, CAN, 7630",(03) 327 8292,-43.38146,172.65922,Collect & Return,Mon: 08:30-17:00; Tue: 08:30-17:00; Wed: 08:30-17:00; Thu: 08:30-17:00; Fri: 08:30-17:00; Sat: closed; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Merivale,1672,OPSM Merivale_1672,New Zealand,Canterbury,Merrivale,8014,"189 Papanui Rd, Merrivale, CHC, 8014",(03) 355 6410,-43.51252,172.62182,"Dry Eye, Collect & Return",Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-19:00; Fri: 09:00-18:00; Sat: 09:00-18:00; Sun: 10:00-17:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Papanui,1653,OPSM Papanui_1653,New Zealand,Canterbury,Papanui,8053,"55 Main North Rd, Papanui, CHC, 8053",(03) 352 0151,-43.4924,172.61008,Collect & Return,Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-21:00; Sat: 09:00-18:00; Sun: 10:00-18:00,https://www.opsm.co.nz/find-store,Active,false
Rangiora Eyecare,2948,Rangiora Eyecare_2948,New Zealand,Canterbury,Rangiora,7400,"42 High Street, Rangiora, CAN, 7400",(03) 313 8811,-43.30285,172.59676,"Dry Eye, Collect & Return",Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-17:30; Fri: 08:30-17:30; Sat: 09:00-17:30; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Riccarton,1593,OPSM Riccarton_1593,New Zealand,Canterbury,Riccarton,8041,"129 Riccarton Rd, Riccarton, CHC, 8041",(03) 341 3125,-43.53122,172.59705,"Dry Eye, Kids Vision Centre, Collect & Return",Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-21:00; Sat: 09:00-18:00; Sun: 10:00-18:00,https://www.opsm.co.nz/find-store,Active,false
OPSM The Palms,1413,OPSM The Palms_1413,New Zealand,Canterbury,Shirley,8061,"Cnr Marshland Rd &amp; New Brighton Rd, Shirley, CHC, 8061",(03) 386 1690,-43.50708,172.66302,Collect & Return,Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-21:00; Sat: 09:00-18:00; Sun: 10:00-18:00,https://www.opsm.co.nz/find-store,Active,false
OPSM GISBORNE,7705,OPSM GISBORNE_7705,New Zealand,Gisborne,Gisborne,4010,"260 Gladstone Rd, Gisborne, GIS, 4010",(06) 867 7176,-38.66371,178.02225,,Mon: 08:00-17:00; Tue: 08:00-17:00; Wed: 08:00-17:00; Thu: 08:00-17:00; Fri: 08:00-17:00; Sat: 09:00-12:00; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Hastings,1607,OPSM Hastings_1607,New Zealand,Hawke's Bay,Hastings,4122,"106 Heretaunga St, Hastings, HAB, 4122",(06) 878 6600,-39.64145,176.84239,Collect & Return,Mon: 08:30-17:00; Tue: 08:30-17:00; Wed: 08:30-17:00; Thu: 08:30-17:00; Fri: 08:30-17:00; Sat: 09:00-14:00; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Napier,1619,OPSM Napier_1619,New Zealand,Hawke's Bay,Napier,4110,"134 Emeson St, Napier, HAB, 4110",(06) 833 7518,-39.49046,176.91653,Collect & Return,Mon: 08:30-17:00; Tue: 08:30-17:00; Wed: 08:30-17:00; Thu: 08:30-17:00; Fri: 08:30-17:00; Sat: 08:30-17:00; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Blenheim,2955,OPSM Blenheim_2955,New Zealand,Nelson,Blenheim,7201,"70 Market St, Blenheim, NLS, 7201",(03) 577 9908,-41.5131,173.95649,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: closed; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Nelson,1643,OPSM Nelson_1643,New Zealand,Nelson,Nelson,7010,"183 Trafalgar St, Nelson, NLS, 7010",(03) 539 4962,-41.27283,173.28407,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-18:00; Fri: 09:00-18:00; Sat: 09:00-16:30; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Richmond,2828,OPSM Richmond_2828,New Zealand,Nelson,Richmond,7020,"T111, Richmond Mall, Richmond, NLS, 7020",(03) 544 9160,-41.33947,173.18609,Dry Eye,Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-18:00; Fri: 09:00-18:00; Sat: 09:00-17:00; Sun: 10:00-16:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Whangarei,1694,OPSM Whangarei_1694,New Zealand,Northland,Whangarei,0110,"Cameron St, Whangarei, NTL, 0110",(09) 438 4930,-35.72518,174.32004,Collect & Return,Mon: 08:00-17:00; Tue: 08:00-17:00; Wed: 08:00-17:00; Thu: 08:00-17:00; Fri: 08:00-17:00; Sat: 08:00-14:30; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Dunedin,1675,OPSM Dunedin_1675,New Zealand,Otago,Dunedin,9016,"291 George St, Dunedin, OTA, 9016",(03) 477 6012,-45.87003,170.50574,Collect & Return,Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-17:30; Fri: 08:30-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Queenstown,1610,OPSM Queenstown_1610,New Zealand,Otago,Queenstown,9300,"19 Grant Rd, Queenstown, OTA, 9300",(03) 442 9412,-45.01244,168.74344,"Kids Vision Centre, Collect & Return",Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-18:00; Fri: 09:00-18:00; Sat: 09:00-18:00; Sun: 10:00-17:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Invercargill,2910,OPSM Invercargill_2910,New Zealand,Southland,Invercargill,9810,"40 Esk St, Invercargill, STL, 9810",(03) 218 8561,-46.41174,168.3487,"Kids Vision Centre, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-15:00; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM New Plymouth,1676,OPSM New Plymouth_1676,New Zealand,Taranaki,New Plymouth,4310,"11 Gill St, New Plymouth, TAR, 4310",(06) 759 4970,-39.05639,174.07426,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Hamilton,1611,OPSM Hamilton_1611,New Zealand,Waikato,Hamilton,3204,"501 Victoria St, Hamilton, WAI, 3204",(07) 838 1472,-37.78589,175.27973,Collect & Return,Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-19:00; Fri: 09:00-18:00; Sat: 09:00-18:00; Sun: 10:00-17:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Hamilton Chartwell,1690,OPSM Hamilton Chartwell_1690,New Zealand,Waikato,Hamilton,3210,"Cnr Comries and Hukanui Rds, Hamilton, WAI, 3210",(07) 854 8348,-37.75132,175.28027,"Kids Vision Centre, Collect & Return",Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-18:00; Sat: 09:00-18:00; Sun: 10:00-17:00,https://www.opsm.co.nz/find-store,Active,false
OPSM The Base,2956,OPSM The Base_2956,New Zealand,Waikato,Hamilton,3200,"Cnr Te Rapa Rd &amp; Wairere Dr, Hamilton, WAI, 3200",(07) 929 2081,-37.74886,175.23383,Collect & Return,Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-21:00; Sat: 09:00-18:00; Sun: 09:00-18:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Taupo,2979,OPSM Taupo_2979,New Zealand,Waikato,Taupo,3330,"32 Te Heuheu St, Taupo, WAI, 3330",(07) 378 8770,-38.68778,176.07101,Collect & Return,Mon: 08:30-17:00; Tue: 08:30-17:00; Wed: 08:30-17:00; Thu: 08:30-17:00; Fri: 08:30-17:00; Sat: 09:00-13:00; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Thames,1605,OPSM Thames_1605,New Zealand,Waikato,Thames,3500,"500 Pollen St, Thames, WAI, 3500",(07) 868 6509,-37.13973,175.54274,Collect & Return,Mon: 08:30-17:00; Tue: 08:30-17:00; Wed: 08:30-17:00; Thu: 08:30-17:00; Fri: 08:30-17:00; Sat: 09:00-16:00; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Lambton Quay,1621,OPSM Lambton Quay_1621,New Zealand,Wellington,Central Wellington,6011,"33 Hunter St, Central Wellington, WLG, 6011",(04) 471 0310,-41.28548,174.77588,"Dry Eye, Collect & Return",Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-19:00; Fri: 08:30-17:30; Sat: 09:00-17:30; Sun: 10:00-17:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Queensgate,1645,OPSM Queensgate_1645,New Zealand,Wellington,Lower Hutt,5010,"Cnr Queens Dr &amp; Bunny St, Lower Hutt, WLG, 5010",(04) 566 9169,-41.20966,174.9045,Collect & Return,Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-18:00; Sat: 09:00-18:00; Sun: 10:00-17:30,https://www.opsm.co.nz/find-store,Active,false
OPSM The Plaza,1679,OPSM The Plaza_1679,New Zealand,Wellington,Palmerston North,4410,"84 The Square, Palmerston North, WLG, 4410",(06) 354 9806,-40.35688,175.61325,"Kids Vision Centre, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-19:00; Sat: 09:00-17:30; Sun: 10:00-17:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Coastlands,1631,OPSM Coastlands_1631,New Zealand,Wellington,Paraparaumu,5032,"State Hwy 1, Paraparaumu, WLG, 5032",(04) 298 5317,-40.91675,175.00435,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-17:30; Sun: 10:00-17:30,https://www.opsm.co.nz/find-store,Active,false
OPSM Porirua,1681,OPSM Porirua_1681,New Zealand,Wellington,Porirua,5022,"2 Titahi Bay Rd, Porirua, WLG, 5022",(04) 237 5913,-41.13753,174.83989,"Dry Eye, Kids Vision Centre, Collect & Return",Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-18:00; Sat: 09:00-18:00; Sun: 10:00-18:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Masterton,1600,OPSM Masterton_1600,New Zealand,Wellington,South Wairarapa District,5810,"122 Queen St, South Wairarapa District, WLG, 5810",(06) 377 5542,-40.94974,175.66152,"Kids Vision Centre, Collect & Return",Mon: 08:30-17:00; Tue: 08:30-17:00; Wed: 08:30-17:00; Thu: 08:30-17:00; Fri: 08:30-17:00; Sat: 08:30-15:00; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Cuba St,1604,OPSM Cuba St_1604,New Zealand,Wellington,Te Aro,6011,"80 Cuba St, Te Aro, WLG, 6011",(04) 473 3000,-41.2916,174.77654,Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-17:30; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Upper Hutt,1663,OPSM Upper Hutt_1663,New Zealand,Wellington,Upper Hutt,5018,"185 Main St, Upper Hutt, WLG, 5018",(04) 528 1001,-41.12404,175.07299,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-17:30; Sun: 09:00-16:00,https://www.opsm.co.nz/find-store,Active,false
